geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,Alicante_hdbscan_5_5
POINT (-0.4817569 38.3443657),Hostal Ventura,,,hostel,,,,,,,,,,-0.4817569,38.3443657,109
POINT (-0.482308 38.3441426),Explanada Hotel,,,hotel,,,,,,,,,,-0.482308,38.3441426,109
POINT (-0.4935199 38.3402241),Banco Sabadell,,bank,,,,,,,,Banco Sabadell,,,-0.4935199,38.3402241,88
POINT (-0.4931724 38.3447949),Draki,,cafe,,,,,,,,,,,-0.4931724,38.3447949,-1
POINT (-0.4853082 38.355632),Isabel Jornet García,,pharmacy,,pharmacy,,,,,,,,,-0.4853082,38.355632,77
POINT (-0.4814658 38.3611632),Spar,supermarket,,,,,,,,,Spar,,,-0.4814658,38.3611632,81
POINT (-0.5082786 38.337558),Doña Aña,,restaurant,,,,,,,,,,,-0.5082786,38.337558,57
POINT (-0.5081606 38.3365482),Italia en Miniatura,,restaurant,,,,,,,,,,,-0.5081606,38.3365482,57
POINT (-0.508524 38.3363308),Merca Babel,variety_store,,,,,,,,,,,,-0.508524,38.3363308,57
POINT (-0.4134635 38.3680565),Caixabank,,bank,,,,,,,,Caixabank,Caixabank,,-0.4134635,38.3680565,24
POINT (-0.4145419 38.3704354),Cines Costa,,cinema,,,,,,,,,,,-0.4145419,38.3704354,26
POINT (-0.4135414 38.3705738),Heladería,ice_cream,,,,,,,,,,,,-0.4135414,38.3705738,-1
POINT (-0.4135233 38.3684729),,vacant,,,,,,,,,,,,-0.4135233,38.3684729,24
POINT (-0.4149925 38.3684004),El Abuelo Taberna,,pub,,,,,,,,,,,-0.4149925,38.3684004,24
POINT (-0.4924609 38.3451867),Banca March,,bank,,,,,,,,Banca March,,,-0.4924609,38.3451867,-1
POINT (-0.4928402 38.3453907),BBVA,,bank,,,,,,,,BBVA,BBVA,,-0.4928402,38.3453907,-1
POINT (-0.4262222 38.3677022),FixPhone,mobile_phone,,,,,,Avenida del Historiador Vicente Ramos,,3540.0,,,,-0.4262222,38.3677022,29
POINT (-0.4338089 38.3714389),La Mafia se sienta a la mesa,,restaurant,,,,,,,,,,,-0.4338089,38.3714389,-1
POINT (-0.4998158 38.3480333),Cafeteria Latte Art,,cafe,,,,,,,,,,,-0.4998158,38.3480333,50
POINT (-0.4979772 38.3482815),Heladería Las Jijonencas,,cafe,,,,,,,,,,,-0.4979772,38.3482815,72
POINT (-0.4148749 38.3717219),"Peluquería Santana Peluqueros Hair&Art, Alicante",hairdresser,,,,,,,,,,,,-0.4148749,38.3717219,31
POINT (-0.4426347 38.3691369),Wok sushi,,restaurant,,,,,,,,,,chinese,-0.4426347,38.3691369,15
POINT (-0.4885534 38.3583133),Bar Tito,,bar,,,,,,,,,,,-0.4885534,38.3583133,66
POINT (-0.4856049 38.3573897),Café Niágara,,cafe,,,,,,,,,,,-0.4856049,38.3573897,78
POINT (-0.4885799 38.3586017),Carniceria,butcher,,,,,,,,,,,,-0.4885799,38.3586017,66
POINT (-0.487384 38.3592244),Colchoneria,fabric,,,,,,,,,,,,-0.487384,38.3592244,-1
POINT (-0.4885693 38.3584825),Merceria - Drogueria,chemist,,,,,,,,,,,,-0.4885693,38.3584825,66
POINT (-0.4889442 38.3581441),Parque de Bolas,toys,,,,,,,,,,,,-0.4889442,38.3581441,66
POINT (-0.5127509 38.3484873),Banco Sabadell,,bank,,,,,,,,Banco Sabadell,,,-0.5127509,38.3484873,59
POINT (-0.5104992 38.3480984),Bar Lucy,,bar,,,,,,,,,,,-0.5104992,38.3480984,59
POINT (-0.5124519 38.3484557),,,pharmacy,,pharmacy,,,,,,,,,-0.5124519,38.3484557,59
POINT (-0.5112982 38.3481879),Gimnasio Ciudad de Asis,,,,,,fitness_centre,,,,,,,-0.5112982,38.3481879,59
POINT (-0.5127124 38.3483679),La Flecha,convenience,,,,,,,,,,,,-0.5127124,38.3483679,59
POINT (-0.5109869 38.3483548),la Florida,supermarket,,,,,,,,,,,,-0.5109869,38.3483548,59
POINT (-0.5117185 38.3482652),Merceria Sempere,clothes,,,,,,,,,,,,-0.5117185,38.3482652,59
POINT (-0.5101775 38.3480984),Repuestos Automóviles,car_parts,,,,,,,,,,,,-0.5101775,38.3480984,59
POINT (-0.5130132 38.3485204),Supermercado Ciudad de Asís,supermarket,,,,,,,,,,,,-0.5130132,38.3485204,59
POINT (-0.5100011 38.3482612),garaje privado,,community_centre,,,,,,,,,,,-0.5100011,38.3482612,59
POINT (-0.5126161 38.3483385),,,post_box,,,,,,,,Correos,Correos,,-0.5126161,38.3483385,59
POINT (-0.4868763 38.3605466),,vacant,,,,,,,,,,,,-0.4868763,38.3605466,-1
POINT (-0.4993635 38.3586802),"Albergue de transeuntes ""Nazaret""",,,hostel,,,,,,,,,,-0.4993635,38.3586802,52
POINT (-0.4981211 38.364417),Pastelería Diagonal,bakery,,,,,,Calle Diagonal / Carrer Diagonal,21,,,,,-0.4981211,38.364417,52
POINT (-0.497885 38.3650227),Tetería Luna,,cafe,,,,,Calle Ollería,,,,,international,-0.497885,38.3650227,52
POINT (-0.48379 38.351379),Ocho y 1/2,,bar,,,,,,,,,,,-0.48379,38.351379,-1
POINT (-0.5064049 38.341069),Cafetería Jijona Babel,,cafe,,,,,calle Pardo Jimeno,77,3007.0,,,ice_cream;nougat;spanish,-0.5064049,38.341069,62
POINT (-0.4903088 38.3426843),I.P. Service,computer,,,,,,calle Reyes Católicos,"20, PASAJE LOCAL 8",3003.0,,,,-0.4903088,38.3426843,-1
POINT (-0.4854794 38.3511071),Óptica Nueva Visión,optician,,,,,,,,,,,,-0.4854794,38.3511071,-1
POINT (-0.4853231 38.3426288),Momen,,restaurant,,,,,,,,,,,-0.4853231,38.3426288,-1
POINT (-0.4868474 38.3490066),Damasol,,restaurant,,,,,,,,,,,-0.4868474,38.3490066,96
POINT (-0.4868012 38.3488225),Dos Hermanos,,restaurant,,,,,,,,,,,-0.4868012,38.3488225,96
POINT (-0.4852082 38.3453689),Confetti,,pub,,,,,,,,,,,-0.4852082,38.3453689,-1
POINT (-0.4856347 38.3463298),Teatro Principal,,theatre,,,,,,,,,,,-0.4856347,38.3463298,-1
POINT (-0.48502 38.3429488),La barra de César Anca,,restaurant,,,,,,,,,,,-0.48502,38.3429488,98
POINT (-0.4815939 38.3443998),La taberna del Gourmet,,restaurant,,,,,,,,,,,-0.4815939,38.3443998,109
POINT (-0.4823515 38.3441224),Tribeca,,restaurant,,,,,,,,,,burger,-0.4823515,38.3441224,109
POINT (-0.4836745 38.3439728),El Portal,,restaurant,,,,,,,,,,,-0.4836745,38.3439728,-1
POINT (-0.5098714 38.3480583),Amigos de Javi,computer,,,,,,,,,,,,-0.5098714,38.3480583,59
POINT (-0.5094982 38.3480021),Clínica Santamaría,,veterinary,,,,,,,,,,,-0.5094982,38.3480021,59
POINT (-0.4982202 38.3495581),Biblioteca pública municipal San Blas,,library,,,,,,,,,,,-0.4982202,38.3495581,-1
POINT (-0.5002442 38.347911),BBVA,,bank,,,,,,,,BBVA,BBVA,,-0.5002442,38.347911,50
POINT (-0.5086902 38.3438791),Ortofarma Vital,,,,physiotherapist,,,calle Aries,7,3007.0,,,regional,-0.5086902,38.3438791,64
POINT (-0.4871779 38.345066),Tapas Alicante,,restaurant,,,,,Calle Felipe Bergé,5,,,,,-0.4871779,38.345066,-1
POINT (-0.4857465 38.3518739),Alicante Empresarial,,,,,company,,calle pintor Murillo,2,3004.0,,,,-0.4857465,38.3518739,-1
POINT (-0.4774582 38.3556936),Clinica Veterinaria Falco,,veterinary,,,,,,,,,,,-0.4774582,38.3556936,60
POINT (-0.4864783 38.3506348),La Caserita,,fast_food,,,,,calle pintor Velázquez,25,3004.0,,,argentinian,-0.4864783,38.3506348,90
POINT (-0.4882082 38.3559844),Farmacia Sanjuan - Vidal C.B.,,pharmacy,,pharmacy,,,Avenida Alcoy,10,,,María Dolores Rodríguez Estella,,-0.4882082,38.3559844,-1
POINT (-0.4932269 38.3474165),Alicante Motor,motorcycle,,,,,,,,,,,,-0.4932269,38.3474165,-1
POINT (-0.4856403 38.3504718),María del Carmen Canales Mira,,pharmacy,,pharmacy,,,,,,,,,-0.4856403,38.3504718,-1
POINT (-0.4900475 38.3455386),Ana María Cremades Sirvent,,pharmacy,,pharmacy,,,,,,,,,-0.4900475,38.3455386,99
POINT (-0.4958866 38.3658521),Cajamar,,bank,,,,,,,,Cajamar,,,-0.4958866,38.3658521,52
POINT (-0.4981858 38.3641703),Electricidad,electronics,,,,,,,,,,,,-0.4981858,38.3641703,52
POINT (-0.4982168 38.3642411),Heladeria & Cafetería Sirope,beverages,,,,,,,,,,privado,,-0.4982168,38.3642411,52
POINT (-0.4984787 38.3640573),Peluquería,hairdresser,,,,,,,,,,,,-0.4984787,38.3640573,52
POINT (-0.4862453 38.3448062),Casa de comidas Juana Romero,,restaurant,,,,,,,,,,regional,-0.4862453,38.3448062,100
POINT (-0.4739922 38.3623774),Restaurante Pizzería Tito's,,restaurant,,,,,,,,,,italian,-0.4739922,38.3623774,73
POINT (-0.4948876 38.3627199),Heladería Rozmar,beverages,,,,,,,,,,,,-0.4948876,38.3627199,52
POINT (-0.4944838 38.3618615),La Poderosa (Zumos),beverages,,,,,,,,,,,,-0.4944838,38.3618615,52
POINT (-0.4937444 38.3615488),Mercadona,supermarket,,,,,,,,,Mercadona,,,-0.4937444,38.3615488,52
POINT (-0.4792122 38.3588894),Bella Napoli,,restaurant,,,,,carrer de Góngora,9,3012.0,,,italian,-0.4792122,38.3588894,74
POINT (-0.4791076 38.3588558),El pan de Fini,bakery,,,,,,carrer de Góngora,9,3012.0,,,,-0.4791076,38.3588558,74
POINT (-0.4857807 38.352389),BBVA,,bank,,,,,,,,BBVA,,,-0.4857807,38.352389,86
POINT (-0.4755977 38.3609291),Cervecería El Chiriguandi,,restaurant,,,,,,,,,,,-0.4755977,38.3609291,75
POINT (-0.4751578 38.3607566),Lotería,lottery,,,,,,,,,,,,-0.4751578,38.3607566,75
POINT (-0.4868949 38.3511567),Centro Municipal de Formación de Personas Adultas FPA,,school,,,,,Carrer del Pare Mariana / Calle del Padre Mariana,19,3004.0,,Ayuntamiento de Alicante,,-0.4868949,38.3511567,-1
POINT (-0.483205 38.3469392),Aloha Tiki Bar & Restaurante,,restaurant,,,,,Calle Argensola,7,3002.0,,,hawaiian;thai,-0.483205,38.3469392,-1
POINT (-0.5206312 38.2827208),Al Tucán,,bar,,,,,Paseo de Tomás Durá,,3008.0,,,,-0.5206312,38.2827208,5
POINT (-0.5206543 38.2827499),Chill Out Playa,,bar,,,,,Paseo de Tomás Durá,,3008.0,,,,-0.5206543,38.2827499,5
POINT (-0.5206595 38.2828414),Pizzería Provenzal,,restaurant,,,,,Paseo de Tomás Durá,,3008.0,,,italian;french;pizza;pasta,-0.5206595,38.2828414,5
POINT (-0.520942 38.2828191),El Capricho de Raquel,,restaurant,,,,,Urbanova 1,,3008.0,,,regional;spanish,-0.520942,38.2828191,5
POINT (-0.5205492 38.2805153),La Tahona de Fernando,bakery,,,,,,Paseo de Tomás Durá,,3008.0,,,,-0.5205492,38.2805153,5
POINT (-0.5205253 38.2803653),El Gamba,,restaurant,,,,,Paseo de Tomás Durá,,3008.0,,,spanish;local,-0.5205253,38.2803653,5
POINT (-0.520572 38.2806736),El Pilón de la Negra,,pub,,,,,Paseo de Tomás Durá,,3008.0,,,venezuelan,-0.520572,38.2806736,5
POINT (-0.5206444 38.2817674),,vacant,,,,,,Calle del Músico Juan Latorre Baeza,4,3008.0,,,,-0.5206444,38.2817674,5
POINT (-0.5208778 38.281779),Inmobiliaria Ventanas al Mar Urbanova,,,,,estate_agent,,Calle del Músico Juan Latorre Baeza,4,3008.0,,,,-0.5208778,38.281779,5
POINT (-0.5206437 38.2825283),Bendita Gloria,,bar,,,,,Paseo de Tomás Durá,,3008.0,,,,-0.5206437,38.2825283,5
POINT (-0.5209339 38.282354),Supermercado Vicente,convenience,,,,,,Paseo de Tomás Durá,,3008.0,,,,-0.5209339,38.282354,5
POINT (-0.5206764 38.2829541),Nou Vora Mar,,restaurant,,,,,Paseo de Tomás Durá,17,3008.0,,,regional,-0.5206764,38.2829541,5
POINT (-0.5207743 38.2853985),Botiquín,,pharmacy,,pharmacy,,,Paseo de Tomás Durá,,3008.0,,"Farmacia Morcillo Cobo, El Altet",,-0.5207743,38.2853985,5
POINT (-0.5208011 38.2855301),Ice & Vice,,bar,,,,,Paseo de Tomás Durá,,3008.0,,,,-0.5208011,38.2855301,5
POINT (-0.52084 38.2851393),La Tartana,,restaurant,,,,,Paseo de Tomás Durá,,3008.0,,,,-0.52084,38.2851393,5
POINT (-0.411753 38.365956),Texaco,,pub,,,,,,,,,,,-0.411753,38.365956,-1
POINT (-0.4793295 38.362376),Bubyston,,bar,,,,,,,,,,,-0.4793295,38.362376,-1
POINT (-0.4917126 38.3491167),Hotel Goya,,,hotel,,,,calle maestro Bretón,19,,,,,-0.4917126,38.3491167,-1
POINT (-0.4847758 38.3429962),Carrefour Express,convenience,,,,,,,,,Carrefour Express,,,-0.4847758,38.3429962,98
POINT (-0.4907763 38.3478137),Hotel Leuka,,,hotel,,,,calle Segura,23,,,,,-0.4907763,38.3478137,-1
POINT (-0.4891166 38.3454933),Mercadona,supermarket,,,,,,calle Álvarez Sereix,5,,Mercadona,,,-0.4891166,38.3454933,-1
POINT (-0.4911384 38.3508501),,,,viewpoint,,,,,,,,,,-0.4911384,38.3508501,-1
POINT (-0.4850631 38.3430628),,,post_box,,,,,,,,Correos,Correos,,-0.4850631,38.3430628,98
POINT (-0.4849257 38.3430418),café Sol,,cafe,,,,,,,,,,,-0.4849257,38.3430418,98
POINT (-0.4841592 38.3522638),Museo Taurino,,,museum,,,,Plaza de España,,,,,,-0.4841592,38.3522638,-1
POINT (-0.4864709 38.3503557),Guillermo,,restaurant,,,,,,,,,,spanish,-0.4864709,38.3503557,90
POINT (-0.4863285 38.3503541),Lo Nuestro,,restaurant,,,,,,,,,,spanish,-0.4863285,38.3503541,90
POINT (-0.4872337 38.3450529),Mixtura,,restaurant,,,,,Calle Felipe Bergé,,,,,,-0.4872337,38.3450529,-1
POINT (-0.487186 38.350927),Casa Mia Italia,,restaurant,,,,,,,,,,italian,-0.487186,38.350927,90
POINT (-0.4864099 38.3465267),Confetti Classics,,bar,,,,,,,,,,,-0.4864099,38.3465267,-1
POINT (-0.5076867 38.3379913),Domi,,cafe,,,,,calle Méjico,30,3008.0,,,,-0.5076867,38.3379913,57
POINT (-0.5076745 38.3379228),Floristeria FlorArte,florist,,,,,,calle Méjico,30 Lc. 4,3008.0,,,,-0.5076745,38.3379228,57
POINT (-0.5076705 38.3378654),La Despensa Extremeña,,restaurant,,,,,calle Méjico,30,3008.0,,,sausage,-0.5076705,38.3378654,57
POINT (-0.4905061 38.343776),Indiaka Beauty,beauty,,,,,,calle general O'Donnell,1 dcha,3003.0,,,,-0.4905061,38.343776,-1
POINT (-0.512812 38.3436347),Agencia La Nave,,,,,advertising_agency,,,,,,,,-0.512812,38.3436347,-1
POINT (-0.4816595 38.3453343),Casa Ibarra,,restaurant,,,,,,,,,,,-0.4816595,38.3453343,107
POINT (-0.4845536 38.3479677),Supercor,supermarket,,,,,,Avenida Alfonso X El Sabio,,,Supercor,,,-0.4845536,38.3479677,-1
POINT (-0.4874477 38.3460556),Hotel Cervantes,,,hotel,,,,calle médico Pascual Pérez,19,,,,,-0.4874477,38.3460556,-1
POINT (-0.4852167 38.3451281),Dickens,,pub,,,,,,,,,,,-0.4852167,38.3451281,-1
POINT (-0.4852847 38.3452661),Nic,,pub,,,,,,,,,,,-0.4852847,38.3452661,-1
POINT (-0.4846781 38.3436326),The Globe,,pub,,,,,,,,,,,-0.4846781,38.3436326,98
POINT (-0.4278163 38.3662373),Personal Look,cosmetics,,,,,,,,,,,,-0.4278163,38.3662373,39
POINT (-0.427947 38.3661868),PC Coste,computer,,,,,,Avenida del Historiador Vicente Ramos,16,,,,,-0.427947,38.3661868,39
POINT (-0.4279784 38.3661735),YG,clothes,,,,,,,,,,,,-0.4279784,38.3661735,39
POINT (-0.4281197 38.3661139),Multiprecio Super Europa,variety_store,,,,,,Avenida del Historiador Vicente Ramos,,,,,,-0.4281197,38.3661139,39
POINT (-0.4638185 38.3696377),McDonald's,,fast_food,,,,,,,,McDonald's,,burger,-0.4638185,38.3696377,46
POINT (-0.482414 38.3438322),McCafé,,cafe,,,,,paseo de la Explanada de España,8,3002.0,McCafé,,coffee_shop,-0.482414,38.3438322,109
POINT (-0.4730545 38.3889767),Mirador Parque de Orgegia,,,viewpoint,,,,,,,,,,-0.4730545,38.3889767,-1
POINT (-0.481675 38.3458324),Fast & Bio,,fast_food,,,,,Calle San Augustin,1,3002.0,,,,-0.481675,38.3458324,107
POINT (-0.4829839 38.3453882),La Piazza,,restaurant,,,,,,,,,,,-0.4829839,38.3453882,-1
POINT (-0.4831511 38.3445629),El Molí,bakery,,,,,,,,,,,,-0.4831511,38.3445629,115
POINT (-0.4195226 38.3782187),,,,viewpoint,,,,,,,,,,-0.4195226,38.3782187,-1
POINT (-0.4424031 38.3899504),,,post_box,,,,,,,,Correos,Correos,,-0.4424031,38.3899504,10
POINT (-0.4431568 38.3896303),La terrazita de Santa Faz,,bar,,,,,plaza Luís Foglietti,10,3559.0,,,,-0.4431568,38.3896303,10
POINT (-0.4711798 38.3669213),Better pan,bakery,,,,,,,,,,,,-0.4711798,38.3669213,70
POINT (-0.4635219 38.3541317),,,,viewpoint,,,,,,,,,,-0.4635219,38.3541317,-1
POINT (-0.46642 38.3540425),,,,viewpoint,,,,,,,,,,-0.46642,38.3540425,-1
POINT (-0.4692797 38.3667529),Phone House,mobile_phone,,,,,,,,,Phone House,,,-0.4692797,38.3667529,70
POINT (-0.4695726 38.3671099),Druni,cosmetics,,,,,,,,,,,,-0.4695726,38.3671099,70
POINT (-0.4770924 38.3489012),,kiosk,,,,,,,,,,,,-0.4770924,38.3489012,67
POINT (-0.476847 38.3486995),,,,viewpoint,,,,,,,,,,-0.476847,38.3486995,67
POINT (-0.491795 38.3409838),Eurostars Centrum Alicante,,,hotel,,,,Calle Pintor Lorenzo Casanova,33-35,3003.0,Eurostars Hotel Company,Eurostars Hotels,,-0.491795,38.3409838,-1
POINT (-0.5139434 38.3416548),la Florida,,pharmacy,,,,,,,,,,,-0.5139434,38.3416548,54
POINT (-0.5094853 38.3445308),Telepizza,,fast_food,,,,,,,,Telepizza,,pizza,-0.5094853,38.3445308,64
POINT (-0.5255968 38.3385413),Comatel,electronics,,,,,,Carrer de la Rosa dels Vents / Calle Rosa de los Vientos,24,3007.0,,,,-0.5255968,38.3385413,-1
POINT (-0.4939906 38.3636842),Caixabank,,bank,,,,,Avinguda de Novelda / Avenida de Novelda,64,3010.0,Caixabank,Caixabank,,-0.4939906,38.3636842,52
POINT (-0.4961785 38.3630801),La Cruz Blanca,,bar,,,,,,,,,,,-0.4961785,38.3630801,52
POINT (-0.4773404 38.3612832),Mundo bike reparación bicicletas,bicycle,,,,,,,,,,,,-0.4773404,38.3612832,75
POINT (-0.497641 38.339515),Ciclos Campuzano,bicycle,,,,,,,,,,,,-0.497641,38.339515,-1
POINT (-0.4660362 38.3709541),Alcampo,supermarket,,,,,,,,,Alcampo,Alcampo,,-0.4660362,38.3709541,46
POINT (-0.4755673 38.3570565),,,cafe,,,,,,,,,,,-0.4755673,38.3570565,60
POINT (-0.4760923 38.3556517),Gomesa & Crespo,chemist,,,,,,calle ingeniero Canales,33,3013.0,,,,-0.4760923,38.3556517,60
POINT (-0.4912727 38.3448203),La Cantina Alicante,,restaurant,,,,,calle pintor Cabrera,,,,,mexican,-0.4912727,38.3448203,95
POINT (-0.5011123 38.3406568),Kilómetro 0,,cafe,,,,,,,,,,,-0.5011123,38.3406568,-1
POINT (-0.4930544 38.3434685),Caixabank,,bank,,,,,,,,Caixabank,,,-0.4930544,38.3434685,103
POINT (-0.500968 38.3416915),Cantonados,,cafe,,,,,calle de los Doscientos,15,,,,,-0.500968,38.3416915,-1
POINT (-0.4902726 38.3450615),Banco Sabadell,,bank,,,,,,,,Banco Sabadell,,,-0.4902726,38.3450615,-1
POINT (-0.498747 38.3429415),Banco Santander,,bank,,,,,,,,Banco Santander,,,-0.498747,38.3429415,92
POINT (-0.5009872 38.3420851),a L'alba,,cafe,,,,,calle de los Doscientos,9 Bajo,,,,,-0.5009872,38.3420851,-1
POINT (-0.5070472 38.3358017),Spar,supermarket,,,,,,,,,Spar,,,-0.5070472,38.3358017,-1
POINT (-0.4217244 38.367754),Idio+,,,,,educational_institution,,,,,,,,-0.4217244,38.367754,33
POINT (-0.4214465 38.367754),Krokante,,cafe,,,,,,,,,,,-0.4214465,38.367754,33
POINT (-0.4212817 38.3677609),Somos infancia,,cafe,,,,,,,,,,,-0.4212817,38.3677609,33
POINT (-0.4217986 38.367753),Stefi Nail's,beauty,,,,,,,,,,,,-0.4217986,38.367753,33
POINT (-0.4235105 38.3676107),Yomaris,,,,,estate_agent,,,,,,,,-0.4235105,38.3676107,34
POINT (-0.4213475 38.3677713),,,,,,,fitness_centre,,,,,,,-0.4213475,38.3677713,33
POINT (-0.4262542 38.3676919),Ina,hairdresser,,,,,,,,,,,,-0.4262542,38.3676919,29
POINT (-0.4266108 38.3675768),Mercamigo,variety_store,,,,,,,,,,,,-0.4266108,38.3675768,29
POINT (-0.426118 38.3677438),Raconet,,cafe,,,,,,,,,,,-0.426118,38.3677438,29
POINT (-0.4253836 38.3679725),Urban,sports,,,,,,,,,,,,-0.4253836,38.3679725,-1
POINT (-0.4261973 38.3677128),Zapatero,shoes,,,,,,,,,,,,-0.4261973,38.3677128,29
POINT (-0.4285982 38.3667175),BBVA,,bank,,,,,,,,BBVA,,,-0.4285982,38.3667175,38
POINT (-0.4282015 38.367382),Clínica dental,,dentist,,dentist,,,,,,,,,-0.4282015,38.367382,-1
POINT (-0.4284844 38.3670655),Nereida,,cafe,,,,,,,,,,,-0.4284844,38.3670655,-1
POINT (-0.4282958 38.3674559),Voramar Golf,,veterinary,,,,,,,,,,,-0.4282958,38.3674559,-1
POINT (-0.4276871 38.3674313),,greengrocer,,,,,,,,,,,,-0.4276871,38.3674313,36
POINT (-0.4287768 38.3666426),Érase una vez,interior_decoration,,,,,,,,,,,,-0.4287768,38.3666426,38
POINT (-0.4323644 38.3654895),BigMat Lledó,furniture,,,,,,,,,,,,-0.4323644,38.3654895,41
POINT (-0.431826 38.365401),Döölze,,cafe,,,,,,,,,,,-0.431826,38.365401,41
POINT (-0.4316152 38.3642024),Instinto deportivo,sports,,,,,,,,,,,,-0.4316152,38.3642024,45
POINT (-0.4313567 38.3646132),Movistar,mobile_phone,,,,,,,,,,,,-0.4313567,38.3646132,45
POINT (-0.4315067 38.3643336),Sento,,restaurant,,,,,,,,,,,-0.4315067,38.3643336,45
POINT (-0.4315723 38.3640807),Yoigo,mobile_phone,,,,,,,,,Yoigo,,,-0.4315723,38.3640807,45
POINT (-0.4891869 38.3467421),Magnolia Cafe,,cafe,,,,,Avenida Alfonso X El Sabio,38,,,,,-0.4891869,38.3467421,99
POINT (-0.488289 38.3510227),El Dragón Escamado,,restaurant,,,,,calle Taquígrafo martí,3,,,,burger,-0.488289,38.3510227,90
POINT (-0.4881487 38.347135),Rubenico Andreany,hairdresser,,,,,,Avenida Alfonso X El Sabio,24,,,,,-0.4881487,38.347135,108
POINT (-0.4992173 38.340745),Bodega Bernardino,alcohol,,,,,,,,,,,,-0.4992173,38.340745,85
POINT (-0.4993545 38.3416325),Enlanet,computer,,,,,,,,,,,,-0.4993545,38.3416325,85
POINT (-0.4995631 38.3407091),,,pharmacy,,,,,,,,,,,-0.4995631,38.3407091,85
POINT (-0.4983684 38.3407653),,kiosk,,,,,,,,,,,,-0.4983684,38.3407653,85
POINT (-0.4986194 38.3415716),,,bank,,,,,,,,,Cajamar,,-0.4986194,38.3415716,85
POINT (-0.4992799 38.34162),,,,,,insurance,,,,,,MAPFRE,,-0.4992799,38.34162,85
POINT (-0.4979918 38.3416346),,kiosk,,,,,,,,,,,,-0.4979918,38.3416346,85
POINT (-0.4986458 38.3416488),,,bank,,,,,,,,,La Caixa,,-0.4986458,38.3416488,85
POINT (-0.4996701 38.3408815),Cervecería Restaurante Victor,,restaurant,,,,,,,,,,,-0.4996701,38.3408815,85
POINT (-0.4997676 38.3422779),Chocolatería Benalúa,,cafe,,,,,,,,,,,-0.4997676,38.3422779,-1
POINT (-0.4999283 38.3420923),La Taberna de D. José,,restaurant,,,,,,,,,,,-0.4999283,38.3420923,-1
POINT (-0.4977465 38.3407022),,,post_box,,,,,,,,,,,-0.4977465,38.3407022,85
POINT (-0.4977812 38.3410723),,,bank,,,,,,,,,Sabadell CAM,,-0.4977812,38.3410723,85
POINT (-0.4977825 38.3410901),,,atm,,,,,,,,,Sabadell CAM,,-0.4977825,38.3410901,85
POINT (-0.4984421 38.3417827),Caixabank,,bank,,,,,,,,Caixabank,Caixabank,,-0.4984421,38.3417827,85
POINT (-0.4978063 38.3418132),,,pharmacy,,,,,,,,,,,-0.4978063,38.3418132,-1
POINT (-0.4985933 38.3412099),,,bank,,,,,,,,,BBVA,,-0.4985933,38.3412099,85
POINT (-0.4992418 38.3411518),La Benaluense,,cafe,,,,,,,,,,,-0.4992418,38.3411518,85
POINT (-0.5010262 38.3423109),Registre Civil 1 i 2,,,,,government,,,,,,,,-0.5010262,38.3423109,-1
POINT (-0.5020966 38.3415012),,,taxi,,,,,,,,,,,-0.5020966,38.3415012,80
POINT (-0.5022768 38.3414697),,,pharmacy,,,,,,,,,,,-0.5022768,38.3414697,80
POINT (-0.496637 38.3430537),,,pharmacy,,pharmacy,,,,,,,,,-0.496637,38.3430537,92
POINT (-0.4953907 38.3429199),Espai Labora Alacant - Isabel La Catòlica,,,,,employment_agency,,Carrer d'Isabel La Catòlica,,,,Generalitat Valenciana,,-0.4953907,38.3429199,91
POINT (-0.4952457 38.3412343),PcBox,computer,,,,,,,,,,,,-0.4952457,38.3412343,-1
POINT (-0.4974374 38.3407213),Foglietti 23,hairdresser,,,,,,,,,,,,-0.4974374,38.3407213,85
POINT (-0.4974285 38.3424567),Masymas,supermarket,,,,,,,,,Masymas,,,-0.4974285,38.3424567,92
POINT (-0.4909315 38.3472022),Liberty Kitchen,,restaurant,,,,,Calle Poeta Quintana,70,,,,american,-0.4909315,38.3472022,-1
POINT (-0.4908282 38.347242),Croissanteria Quintana,bakery,,,,,,Calle poeta Quintana,68,,,,,-0.4908282,38.347242,-1
POINT (-0.480744 38.3449742),Old Centre Inn,,,hostel,,,,Plaza del Ayuntamiento,3,3002.0,,,,-0.480744,38.3449742,94
POINT (-0.4808704 38.3451679),Carrefour Express,convenience,,,,,,Plaza del Ayuntamiento,2,3002.0,Carrefour Express,,,-0.4808704,38.3451679,94
POINT (-0.4807721 38.3450486),,,cafe,,,,,,,,,,regional,-0.4807721,38.3450486,94
POINT (-0.481429 38.3449179),,,cafe,,,,,,,,,,,-0.481429,38.3449179,-1
POINT (-0.4816698 38.3447986),,deli,,,,,,,,,,,,-0.4816698,38.3447986,109
POINT (-0.4858576 38.3487559),Carrefour Express,convenience,,,,,,calle Calderón de la Barca,8,3004.0,Carrefour Express,,,-0.4858576,38.3487559,-1
POINT (-0.4836706 38.3604532),Eurokebap,,restaurant,,,,,avenida maestro Alonso,,,,,turkish,-0.4836706,38.3604532,-1
POINT (-0.4681039 38.3634596),Ciclos Boyer - Shimano,bicycle,,,,,,,,,,,,-0.4681039,38.3634596,69
POINT (-0.5206319 38.2824099),Moments,,restaurant,,,,,Paseo de Tomás Durá,,3008.0,,,international,-0.5206319,38.2824099,5
