geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Valencia_hdbscan_5_5
POINT (-0.376435 39.4748438),La Calita,,restaurant,,,,,,,,,,regional,-0.376435,39.4748438,-41905,4394340,la calita,-1
POINT (-0.3765252 39.4746024),El Infante,,restaurant,,,,,,,,,,,-0.3765252,39.4746024,-41915,4394313,el infante,-1
POINT (-0.3787848 39.4779754),Boucan,,bar,,,,,,,,,,,-0.3787848,39.4779754,-42166,4394688,boucan,-1
POINT (-0.3791793 39.4777012),Vasito de Lece,interior_decoration,,,,,,,,,,,,-0.3791793,39.4777012,-42210,4394658,vasito de lece,-1
POINT (-0.3797913 39.4767544),Express Market,convenience,,,,,,,,,,,,-0.3797913,39.4767544,-42278,4394552,express market,187
POINT (-0.3755873 39.4559793),John Galt Bitcoin ATM,,atm,,,,,Avenida de Ausías March,4,46006,,John Galt ATM,,-0.3755873,39.4559793,-41810,4392240,john galt bitcoin atm,133
POINT (-0.3776446 39.4705732),Marco Aldary,beauty,,,,,,,,,,,,-0.3776446,39.4705732,-42039,4393864,marco aldary,233
POINT (-0.3777668 39.4707859),Sordotecnica,hearing_aids,,,,,,,,,,,,-0.3777668,39.4707859,-42053,4393888,sordotecnica,233
POINT (-0.3773582 39.4713372),,gift,,,,,,,,,,,,-0.3773582,39.4713372,-42008,4393949,,233
POINT (-0.3772755 39.4714499),Colombiapan,,restaurant,,,,,,,,,,,-0.3772755,39.4714499,-41998,4393962,colombiapan,233
POINT (-0.3770239 39.472097),Nyu Nyu,fashion_accessories,,,,,,,,,,,,-0.3770239,39.472097,-41970,4394034,nyu nyu,233
POINT (-0.3770941 39.4725871),City Phone,mobile_phone,,,,,,,,,,,,-0.3770941,39.4725871,-41978,4394088,city phone,-1
POINT (-0.3772759 39.4728407),Toni Pons,shoes,,,,,,,,,,,,-0.3772759,39.4728407,-41998,4394117,toni pons,236
POINT (-0.3772056 39.4730997),Bardebares,,restaurant,,,,,,,,,,,-0.3772056,39.4730997,-41991,4394145,bardebares,237
POINT (-0.377485 39.473297),El Fardachos,,cafe,,,,,,,46001,,,spanish,-0.377485,39.473297,-42022,4394167,el fardachos,237
POINT (-0.3773922 39.4734689),Giftshop & Souvenirs,gift,,,,,,,,46001,,,,-0.3773922,39.4734689,-42011,4394187,giftshop & souvenirs,-1
POINT (-0.3768123 39.474119),Sombreros Albero,fashion_accessories,,,,,,,,,,,,-0.3768123,39.474119,-41947,4394259,sombreros albero,234
POINT (-0.3763871 39.4746139),La Senora Hendersson,clothes,,,,,,,,,,,,-0.3763871,39.4746139,-41899,4394314,la senora hendersson,-1
POINT (-0.376418 39.475435),Antic,antiques,,,,,,,,,,,,-0.376418,39.475435,-41903,4394405,antic,-1
POINT (-0.3765509 39.4755753),Pasta E Passione,,restaurant,,,,,,,,,,italian,-0.3765509,39.4755753,-41918,4394421,pasta e passione,-1
POINT (-0.3766663 39.4758327),Citizentral,,community_centre,,,,,,,,,,,-0.3766663,39.4758327,-41930,4394450,citizentral,-1
POINT (-0.3770912 39.4765746),Duality,,fast_food,,,,,,,,,,burger,-0.3770912,39.4765746,-41978,4394532,duality,211
POINT (-0.3774127 39.4766791),@typical valencia,gift,,,,,,,,,,,,-0.3774127,39.4766791,-42014,4394544,@typical valencia,211
POINT (-0.3764611 39.4743845),El Miracle,clothes,,,,,,,,,,,,-0.3764611,39.4743845,-41908,4394288,el miracle,-1
POINT (-0.3759652 39.4744486),SDM,,,,,graphic_design,,,,,,,,-0.3759652,39.4744486,-41852,4394296,sdm,229
POINT (-0.3756701 39.4750491),Casa 1880,gift,,,,,,,,,,,,-0.3756701,39.4750491,-41820,4394362,casa 1880,229
POINT (-0.3773616 39.4782056),Arandines,,bar,,,,,,,,,,,-0.3773616,39.4782056,-42008,4394714,arandines,-1
POINT (-0.3772335 39.4780191),,,,,,,fitness_centre,,,,,,,-0.3772335,39.4780191,-41994,4394693,,-1
POINT (-0.3691445 39.4844768),Alboraya 46,,pharmacy,,pharmacy,,,Carrer d'Alboraia,46,,,,,-0.3691445,39.4844768,-41093,4395412,alboraya 46,83
POINT (-0.3701289 39.4847036),Una Rica Pasta,pasta,,,,,,Carrer de Jaca,3,,,,,-0.3701289,39.4847036,-41203,4395437,una rica pasta,83
POINT (-0.3723835 39.4879856),Los Monos,toys,,,,,,Carrer de Bilbao,31,,,,,-0.3723835,39.4879856,-41454,4395803,los monos,87
POINT (-0.3723317 39.488077),Cadena 88,electrical,,,,,,,,,,,,-0.3723317,39.488077,-41448,4395813,cadena 88,87
POINT (-0.3767223 39.4880351),Frutas y Verduras Walid,greengrocer,,,,,,,,,,,,-0.3767223,39.4880351,-41937,4395808,frutas y verduras walid,-1
POINT (-0.3727089 39.462225),La Chingada,,restaurant,,,,,Carrer del Mossén Femenia,,46004,,,mexican,-0.3727089,39.462225,-41490,4392935,la chingada,-1
POINT (-0.3723266 39.4621909),Moontels,,,hotel,,,,Carrer del Mossén Femenia,,,,,,-0.3723266,39.4621909,-41447,4392931,moontels,-1
POINT (-0.3800331 39.4779266),minimart,convenience,,,,,,,,,,,,-0.3800331,39.4779266,-42305,4394683,minimart,187
POINT (-0.379522 39.4539723),IFI Instalaciones de Seguridad,,,,,security,,Carrer de Carlos Caballé Lancry,3,46006,,,,-0.379522,39.4539723,-42248,4392016,ifi instalaciones de seguridad,92
POINT (-0.3854781 39.4770066),Botanico Coworking Space,,,,,coworking,,Calle Turia,53,,,,,-0.3854781,39.4770066,-42911,4394580,botanico coworking space,-1
POINT (-0.3704951 39.4824791),Munzur Grill House,,fast_food,,,,,,,,,,kebab,-0.3704951,39.4824791,-41244,4395190,munzur grill house,83
POINT (-0.3349149 39.4590542),Restaurante los Angeles de Aley,,restaurant,,,,,Carrer de Joan Verdeguer,55,46024,,,,-0.3349149,39.4590542,-37283,4392582,restaurante los angeles de aley,-1
POINT (-0.3390849 39.4213497),Farmacia Pinedo al Mar,,pharmacy,,,,,Travessia de Pinedo al Mar,17,,,,,-0.3390849,39.4213497,-37747,4388385,farmacia pinedo al mar,5
POINT (-0.3775946 39.4725716),La Guashira,,cafe,,,,,,,,,,coffee_shop,-0.3775946,39.4725716,-42034,4394087,la guashira,-1
POINT (-0.3897727 39.4876449),Bar 4 Lirios,,bar,,,,,,,,,,,-0.3897727,39.4876449,-43389,4395765,bar 4 lirios,54
POINT (-0.3895918 39.4876341),Technic-Clau,locksmith,,,,,,Avenida de Campanar,7,,,,,-0.3895918,39.4876341,-43369,4395763,technic-clau,54
POINT (-0.3914042 39.4884062),Cafés Valente,,cafe,,,,,,,,,,coffee_shop,-0.3914042,39.4884062,-43571,4395849,cafés valente,54
POINT (-0.3642254 39.4611757),etcétera,,cafe,,,,,Plaça de Vicente Alcober Coloma (Professor),,,,,,-0.3642254,39.4611757,-40546,4392818,etcétera,158
POINT (-0.3640052 39.4570504),Mr. India,,restaurant,,,,,Avinguda d'Amado Granell Mesado,42,46006,,,indian,-0.3640052,39.4570504,-40521,4392359,mr. india,120
POINT (-0.3738207 39.472302),Solo Hombre,clothes,,,,,,,,,,,,-0.3738207,39.472302,-41614,4394057,solo hombre,183
POINT (-0.3736424 39.4733895),Candelas,,restaurant,,,,,,,,,,spanish;regional,-0.3736424,39.4733895,-41594,4394178,candelas,-1
POINT (-0.3896455 39.4682195),Gestion Room,,,,,property_management,,Carrer D'Alberic,37,46008,,,,-0.3896455,39.4682195,-43375,4393602,gestion room,-1
POINT (-0.3319453 39.4043615),,,,viewpoint,,,,,,,,,,-0.3319453,39.4043615,-36952,4386494,,-1
POINT (-0.3968311 39.4721346),La Brioxeria,bakery,,,,,,Carrer del Doctor Sempere,,46018,,,,-0.3968311,39.4721346,-44175,4394038,la brioxeria,35
POINT (-0.3610071 39.4835859),UIFormacion,,language_school,,,,,Carrer de Cuenca Tramoyeres,13,43020,,UIFormacion,,-0.3610071,39.4835859,-40187,4395313,uiformacion,-1
POINT (-0.3717736 39.4633469),happy days waffles,,fast_food,,,,,,,,,,,-0.3717736,39.4633469,-41386,4393060,happy days waffles,177
POINT (-0.3744341 39.4776427),Punt 1,,,,,,park,,,,,,,-0.3744341,39.4776427,-41682,4394651,punt 1,-1
POINT (-0.3685234 39.4689706),Ma Khin Café - Descolonial Asian Food,,restaurant,,,,,,,46004,,,asian,-0.3685234,39.4689706,-41024,4393686,ma khin café - descolonial asian food,194
POINT (-0.3957972 39.4781943),Pepco,clothes,,,,,,,,,Pepco,,,-0.3957972,39.4781943,-44060,4394713,pepco,80
POINT (-0.3801739 39.4781602),El Carmen,,language_school,,,,,,,,,,,-0.3801739,39.4781602,-42321,4394709,el carmen,187
POINT (-0.3798279 39.4765586),españolé,,language_school,,,,,,,,,,,-0.3798279,39.4765586,-42282,4394531,españolé,187
POINT (-0.3432681 39.4622515),Great Saini,greengrocer,,,,,,,,,,,,-0.3432681,39.4622515,-38213,4392938,great saini,125
POINT (-0.4073447 39.4959909),Tavella Restaurant,,restaurant,,,,,,,46015,,,fish;grill;mediterranean;seafood;steak_house,-0.4073447,39.4959909,-45346,4396694,tavella restaurant,-1
POINT (-0.3448755 39.4673387),Falla Humanista Furió,,,,,association,,,,,,,,-0.3448755,39.4673387,-38392,4393504,falla humanista furió,-1
POINT (-0.3689936 39.4690636),Laguna - Cosmetica Perfumeria,cosmetics,,,,,,,,,,,,-0.3689936,39.4690636,-41076,4393696,laguna - cosmetica perfumeria,-1
POINT (-0.3749198 39.4740157),Horchatería Daniel,,cafe,,,,,Carrer de la Mar,4,46003,,,,-0.3749198,39.4740157,-41736,4394247,horchatería daniel,227
POINT (-0.3653375 39.4248688),Sala L'Horta,,theatre,,,,,Carrer de Sant Martí de Porres,17,,,,,-0.3653375,39.4248688,-40669,4388776,sala l'horta,4
POINT (-0.363062 39.480146),Nável,,cafe,,,,,,,,,,,-0.363062,39.480146,-40416,4394930,nável,48
POINT (-0.361246 39.4807823),Foro Vixeros,,,,,estate_agent,,,,,,,,-0.361246,39.4807823,-40214,4395001,foro vixeros,-1
POINT (-0.3817076 39.4829393),Alquima Caf,,cafe,,,,,Carrer del Pla de la Saïdia,20,,,,coffee_shop,-0.3817076,39.4829393,-42492,4395241,alquima caf,56
POINT (-0.3786349 39.4858508),Cosas Ricas,,bar,,,,,,,,,,,-0.3786349,39.4858508,-42150,4395565,cosas ricas,69
POINT (-0.3786674 39.4858386),Retro Arcadia,appliance,,,,,,,,,,,,-0.3786674,39.4858386,-42153,4395564,retro arcadia,69
POINT (-0.3750026 39.4746815),Sushi Shop,,fast_food,,,,,,,,Sushi Shop,,sushi,-0.3750026,39.4746815,-41745,4394322,sushi shop,227
POINT (-0.3563792 39.4689102),Garage Foodie,,restaurant,,,,,Carrer del Doctor Ferrann,4,,,,,-0.3563792,39.4689102,-39672,4393679,garage foodie,101
POINT (-0.3690184 39.4674582),Tábata García - Psicóloga en Valencia,,,,psychotherapist,,,Gran Via del Marqués del Túria,49,46005,,Tábata García Atienza,,-0.3690184,39.4674582,-41079,4393517,tábata garcía - psicóloga en valencia,-1
POINT (-0.3836039 39.4678486),Papelería & hobby,stationery,,,,,,,,,,,,-0.3836039,39.4678486,-42703,4393561,papelería & hobby,-1
POINT (-0.3748226 39.4609489),Palao Bistrot,,restaurant,,,,,Carrer de Sueca,40,,,,,-0.3748226,39.4609489,-41725,4392793,palao bistrot,180
POINT (-0.3253189 39.4693036),La Cabanyita,,restaurant,,,,,,,,,,,-0.3253189,39.4693036,-36214,4393723,la cabanyita,-1
POINT (-0.3750298 39.473333),Restaurant Secret,,restaurant,,,,,Carrer de Sant Martí,11,46002,,,spanish,-0.3750298,39.473333,-41748,4394171,restaurant secret,-1
POINT (-0.3705183 39.4660177),TEDi,variety_store,,,,,,,,,TEDi,,,-0.3705183,39.4660177,-41246,4393357,tedi,-1
POINT (-0.3658784 39.4644866),Tabacos Exp.No. 77,tobacco,,,,,,,,,,,,-0.3658784,39.4644866,-40730,4393187,tabacos exp.no. 77,-1
POINT (-0.3734864 39.4663747),Juu-ni,,restaurant,,,,,Calle Cirilo Amoros,12,,,,japanese,-0.3734864,39.4663747,-41577,4393397,juu-ni,-1
POINT (-0.3964448 39.4946985),Alea,beauty,,,,,,,,,,,,-0.3964448,39.4946985,-44132,4396550,alea,37
POINT (-0.3975415 39.4942355),Trinity College London,,language_school,,,,,,,,,,,-0.3975415,39.4942355,-44254,4396498,trinity college london,-1
POINT (-0.3672856 39.4647873),Copper Coffee,,cafe,,,,,Carrer de Borriana,12,,,,coffee_shop,-0.3672856,39.4647873,-40886,4393220,copper coffee,170
POINT (-0.371953 39.4619508),Mr Tiquis Miquis,,bar,,,,,,,,,,,-0.371953,39.4619508,-41406,4392904,mr tiquis miquis,178
POINT (-0.3674701 39.463328),kimo kids,toys,,,,,,,,,,,,-0.3674701,39.463328,-40907,4393058,kimo kids,170
POINT (-0.3299246 39.4647456),Tallat,,cafe,,,,,,,,,,,-0.3299246,39.4647456,-36727,4393215,tallat,84
POINT (-0.380463 39.4763853),Clot el Ropero,second_hand,,,,,,,,,,,,-0.380463,39.4763853,-42353,4394511,clot el ropero,187
POINT (-0.3815214 39.4767559),Sueño Andaluz,,restaurant,,,,,,,,,,,-0.3815214,39.4767559,-42471,4394552,sueño andaluz,187
POINT (-0.402215 39.4935762),,,post_box,,,,,,,,,Correos,,-0.402215,39.4935762,-44775,4396425,,-1
POINT (-0.3792623 39.4721973),Linana,tailor,,,,,,,,46001,,,,-0.3792623,39.4721973,-42219,4394045,linana,-1
POINT (-0.3759808 39.473805),Exchange,,bureau_de_change,,,,,,,,,,,-0.3759808,39.473805,-41854,4394224,exchange,230
POINT (-0.3769961 39.4740082),Via Dolce - Cannoleria e Gelateria,bakery,,,,,,,,,,,,-0.3769961,39.4740082,-41967,4394247,via dolce - cannoleria e gelateria,234
POINT (-0.3679379 39.4694999),Rossmann,chemist,,,,,,,,46004,Rossmann,,,-0.3679379,39.4694999,-40959,4393745,rossmann,194
POINT (-0.3615616 39.4852914),El Pessic,,restaurant,,,,,Carrer del Reverend Rafael Tramoyeres,3,,,,,-0.3615616,39.4852914,-40249,4395503,el pessic,108
POINT (-0.3536516 39.4533855),Kamado Asian Food,,restaurant,,,,,CC El Saler planta 1,,,,,asian,-0.3536516,39.4533855,-39368,4391951,kamado asian food,16
POINT (-0.3631142 39.4768054),Althea Fisioterapia y Osteopatía,,,,physiotherapist,,,Carrer de les Arts Gràfiques,40,46010,,Mónica Hailer,,-0.3631142,39.4768054,-40422,4394558,althea fisioterapia y osteopatía,59
POINT (-0.3731358 39.4681418),,,,,,foundation,,,,,Fundación ANAR,,,-0.3731358,39.4681418,-41537,4393594,,221
POINT (-0.3655981 39.4637323),El Rambo,,fast_food,,,,,,,,,,kebab,-0.3655981,39.4637323,-40698,4393103,el rambo,161
POINT (-0.363824 39.4626946),Carrefour Express,convenience,,,,,,,,,Carrefour Express,,,-0.363824,39.4626946,-40501,4392987,carrefour express,-1
POINT (-0.3501865 39.4665053),Mercadona,supermarket,,,,,,,,,Mercadona,,,-0.3501865,39.4665053,-38983,4393411,mercadona,-1
POINT (-0.3633533 39.4632383),Roba neta,dry_cleaning,,,,,,,,,,,,-0.3633533,39.4632383,-40448,4393048,roba neta,-1
POINT (-0.3745607 39.474133),Eco Bike Rental,bicycle,,,,,,,,,,,,-0.3745607,39.474133,-41696,4394260,eco bike rental,227
