geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Barcelona_hdbscan_5_5
POINT (2.1606094 41.3799279),Darthy,hifi,,,,,,,,,,,,2.1606094,41.3799279,240519,4606414,darthy,-1
POINT (2.1280843 41.3965948),Restaurant Bar-Ri,,restaurant,,,,,Plaça Joaquim Pena,4,8017.0,,,,2.1280843,41.3965948,236898,4608269,restaurant bar-ri,135
POINT (2.1684807 41.4137823),Carnisseria Ca L'Antoni,butcher,,,,,,Carrer de los Castillejos,429,8024.0,,,,2.1684807,41.4137823,241395,4610182,carnisseria ca l'antoni,-1
POINT (2.2062989 41.4016351),Cavina,,restaurant,,,,,Plaça de Julio González,7,8005.0,,,,2.2062989,41.4016351,245605,4608830,cavina,-1
POINT (2.176542 41.4114084),,garden_centre,,,,,,,,,,,,2.176542,41.4114084,242293,4609918,,504
POINT (2.1748314 41.4114069),Tapan Musical Centre,musical_instrument,,,,,,,,,,,,2.1748314,41.4114069,242102,4609918,tapan musical centre,-1
POINT (2.1427173 41.3787412),Istanbul Grill,,restaurant,,,,,Carrer de Mallorca,6,8014.0,,,mediterranean,2.1427173,41.3787412,238527,4606281,istanbul grill,263
POINT (2.1431966 41.3790271),Out of India,,restaurant,,,,,Carrer de Béjar,97,8014.0,,,indian,2.1431966,41.3790271,238581,4606313,out of india,263
POINT (2.1847707 41.4170519),Associació de Veïns del Barri de Navas,,,,,association,,,,,,,,2.1847707,41.4170519,243209,4610546,associació de veïns del barri de navas,179
POINT (2.1838281 41.4251615),Escola Sants Inocents,,school,,,,,,,,,,,2.1838281,41.4251615,243104,4611449,escola sants inocents,-1
POINT (2.1840326 41.4267095),Diaverum. Centre de diàlisi Emilio Rotellar,,,,dialysis,,,,,,,,,2.1840326,41.4267095,243127,4611621,diaverum. centre de diàlisi emilio rotellar,-1
POINT (2.1818695 41.4388634),Banc del Moviment. Xarxa solidària,,community_centre,,,,,,,,,,,2.1818695,41.4388634,242886,4612974,banc del moviment. xarxa solidària,67
POINT (2.1783025 41.4189616),Da Emanuele,,restaurant,,,,,Carrer de Teodor Llorente,40,8041.0,,,pizza,2.1783025,41.4189616,242489,4610759,da emanuele,293
POINT (2.1370653 41.3780149),HOSOmaki Sants,,restaurant,,,,,Carrer de Valladolid,40,8014.0,,,japanese,2.1370653,41.3780149,237898,4606201,hosomaki sants,-1
POINT (2.1322342 41.3756534),G&S Envíos,,bureau_de_change,,,,,Riera d'Escuder,34,8028.0,,G&S,,2.1322342,41.3756534,237360,4605938,g&s envíos,356
POINT (2.1786368 41.3928739),Factotum,hardware,,,,,,Passeig de Sant Joan,24,8010.0,,,,2.1786368,41.3928739,242526,4607855,factotum,496
POINT (2.2032873 41.4125134),La Masovera,,cafe,,,,,,,,,,,2.2032873,41.4125134,245270,4610041,la masovera,-1
POINT (2.2046841 41.4187875),Cal Fruitós,grocery,,,,,,,,,,,,2.2046841,41.4187875,245425,4610739,cal fruitós,-1
POINT (2.1390085 41.3902204),Txokoa,,restaurant,,,,,,,,,,,2.1390085,41.3902204,238114,4607559,txokoa,-1
POINT (2.1219039 41.3763184),ALDI,supermarket,,,,,,,,,ALDI,,,2.1219039,41.3763184,236210,4606012,aldi,330
POINT (2.186143 41.4300173),Shanghai,,restaurant,,,,,Rambla de Fabra i Puig,49,8030.0,,,chinese,2.186143,41.4300173,243361,4611990,shanghai,123
POINT (2.1614206 41.3893318),Kay,,fast_food,,,,,,,,,,kebab,2.1614206,41.3893318,240609,4607460,kay,724
POINT (2.1614178 41.3892789),Sovia,,,,,estate_agent,,,,,,,,2.1614178,41.3892789,240609,4607455,sovia,724
POINT (2.1726382 41.3710762),,,,viewpoint,,,,,,,,,,2.1726382,41.3710762,241858,4605428,,71
