geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Malaga_hdbscan_5_5
POINT (-4.4215087 36.7211582),Café Central,,cafe,,,,,,11,29016.0,,,regional;spanish;mediterranean,-4.4215087,36.7211582,-492202,4087799,café central,142
POINT (-4.4768218 36.70743),,furniture,,,,,,,,,,,,-4.4768218,36.70743,-498360,4086271,,49
POINT (-4.5463936 36.727966),La Competencia,,restaurant,,,,,,,,,,regional,-4.5463936,36.727966,-506105,4088557,la competencia,-1
POINT (-4.4647566 36.6657895),Frascati,,restaurant,,,,,Calle Rogelio Oliva,29,29004.0,,,,-4.4647566,36.6657895,-497017,4081636,frascati,13
POINT (-4.4381512 36.7028558),,,post_box,,,,,,,,Correos,Correos,,-4.4381512,36.7028558,-494055,4085762,,115
POINT (-4.4834575 36.6732233),Autos Remo,,car_rental,,,,,,,,,,,-4.4834575,36.6732233,-499098,4082463,autos remo,26
POINT (-4.4890681 36.6756985),SIXT - Aeropuerto de Málaga,,car_rental,,,,,,,29004.0,,Sixt,,-4.4890681,36.6756985,-499723,4082739,sixt - aeropuerto de málaga,25
POINT (-4.4211164 36.7241887),El Apartamento,,restaurant,,,,,Calle Carretería,92,29008.0,,,,-4.4211164,36.7241887,-492159,4088137,el apartamento,142
POINT (-4.3605302 36.721274),Caixabank,,bank,,,,,Avenida Juan Sebastián Elcano,201,29017.0,Caixabank,La Caixa,,-4.3605302,36.721274,-485414,4087812,caixabank,39
POINT (-4.4219753 36.720385),Beluga,,restaurant,,,,,,3,29005.0,,,mediterranean,-4.4219753,36.720385,-492254,4087713,beluga,142
POINT (-4.3599263 36.7214919),Miguel de Rosalía,butcher,,,,,,,,,,,,-4.3599263,36.7214919,-485347,4087836,miguel de rosalía,39
POINT (-4.3599275 36.7234516),Supersol,supermarket,,,,,,Calle Villafuerte,35,29017.0,Supersol,,,-4.3599275,36.7234516,-485347,4088055,supersol,38
POINT (-4.3597366 36.7235118),Panadería Montañez,bakery,,,,,,Calle Villafuerte,34,29017.0,,,,-4.3597366,36.7235118,-485326,4088061,panadería montañez,38
POINT (-4.3599159 36.723539),Farmacia Villafuerte,,pharmacy,,pharmacy,,,Calle Villafuerte,35,29017.0,,,,-4.3599159,36.723539,-485346,4088064,farmacia villafuerte,38
POINT (-4.3600568 36.7218878),Bazar Chun,convenience,,,,,,,,,,,,-4.3600568,36.7218878,-485362,4087881,bazar chun,39
POINT (-4.3599744 36.7230887),Ángeles Barba,hairdresser,,,,,,,,,,,,-4.3599744,36.7230887,-485352,4088014,ángeles barba,38
POINT (-4.4876805 36.6754423),Aeropuerto,,taxi,,,,,,,,,Oficina Municipal del Taxi,,-4.4876805,36.6754423,-499569,4082710,aeropuerto,26
POINT (-4.4199921 36.7207952),Farmacia del Sagrario,,pharmacy,,pharmacy,,,Calle Santa María,29,29015.0,,,,-4.4199921,36.7207952,-492034,4087759,farmacia del sagrario,142
POINT (-4.4511056 36.6903432),Apetece Ecológico,convenience,,,,,,Camino del Pato,16,29004.0,,,,-4.4511056,36.6903432,-495497,4084369,apetece ecológico,98
POINT (-4.3611989 36.7210142),Farmacia Rafael Marín Zafra,,pharmacy,,pharmacy,,,Avenida Estación de El Palo,1,29017.0,,,,-4.3611989,36.7210142,-485489,4087783,farmacia rafael marín zafra,39
POINT (-4.3616671 36.7209104),,florist,,,,,,,,,,,,-4.3616671,36.7209104,-485541,4087772,,39
POINT (-4.361018 36.7210015),Oficina de Correos,,post_office,,,,,Avenida Juan Sebastián Elcano,178,29017.0,Correos,Correos,,-4.361018,36.7210015,-485469,4087782,oficina de correos,39
POINT (-4.3613843 36.7212853),CajaSur,,bank,,,,,,,,CajaSur,,,-4.3613843,36.7212853,-485509,4087813,cajasur,39
POINT (-4.3676525 36.722512),Farmacia Pedregalejo,,pharmacy,,pharmacy,,,Avenida Juan Sebastián Elcano,127,29017.0,,,,-4.3676525,36.722512,-486207,4087950,farmacia pedregalejo,-1
POINT (-4.3598718 36.7212362),,convenience,,,,,,,,,,,,-4.3598718,36.7212362,-485341,4087808,,39
POINT (-4.4216899 36.718243),Farmacia Caffarena,,pharmacy,,pharmacy,,,Alameda Principal,4,29005.0,,,,-4.4216899,36.718243,-492223,4087475,farmacia caffarena,142
POINT (-4.4219323 36.7181748),Burger King,,fast_food,,,,,,,,Burger King,,burger,-4.4219323,36.7181748,-492250,4087467,burger king,142
POINT (-4.4703775 36.7313697),Farmacia El Atabal,,pharmacy,,pharmacy,,,Calle Atabalero,2,29010.0,,,,-4.4703775,36.7313697,-497642,4088936,farmacia el atabal,40
POINT (-4.454518 36.7202301),Farmacia Próxima Portada Alta,,pharmacy,,pharmacy,,,Calle Castilla,,29007.0,,,,-4.454518,36.7202301,-495877,4087696,farmacia próxima portada alta,-1
POINT (-4.358604 36.7247953),,,post_box,,,,,,,,,,,-4.358604,36.7247953,-485200,4088204,,-1
POINT (-4.4308694 36.71287),Hostal Acapulco,,,hostel,,,,Calle Explanada de la Estación,6,29002.0,,,,-4.4308694,36.71287,-493244,4086877,hostal acapulco,137
POINT (-4.4319752 36.7160711),Málaga Alameda Centro,,,hotel,,,,Avenida de la Aurora,25,29006.0,Meliá,Meliá,,-4.4319752,36.7160711,-493367,4087233,málaga alameda centro,127
POINT (-4.4226687 36.7180405),Cafarena,,taxi,,,,,,,,,Oficina Municipal del Taxi,,-4.4226687,36.7180405,-492331,4087452,cafarena,142
POINT (-4.4920051 36.6766861),Museumshop,gift,,,,,,,,,,,,-4.4920051,36.6766861,-500050,4082849,museumshop,25
POINT (-4.4921075 36.6767466),,,atm,,,,,,,,Unicaja Banco,Unicaja,,-4.4921075,36.6767466,-500061,4082855,,25
POINT (-4.4915633 36.6763364),Starbucks,,cafe,,,,,,,,Starbucks,,coffee_shop,-4.4915633,36.6763364,-500001,4082810,starbucks,25
POINT (-4.492667 36.6772798),Malaga Duty Free,mall,,,,,,,,,,,,-4.492667,36.6772798,-500124,4082915,malaga duty free,25
POINT (-4.4920536 36.677447),,,post_box,,,,,,,,,,,-4.4920536,36.677447,-500055,4082933,,25
POINT (-4.491962 36.6778272),Burger King,,fast_food,,,,,,,,Burger King,,burger,-4.491962,36.6778272,-500045,4082976,burger king,25
POINT (-4.4941149 36.6771533),Upper Crust,,fast_food,,,,,,,,Upper Crust,,sandwich,-4.4941149,36.6771533,-500285,4082901,upper crust,25
POINT (-4.4724834 36.6852012),McDonald's,,fast_food,,,,,,,,McDonald's,,burger,-4.4724834,36.6852012,-497877,4083797,mcdonald's,34
POINT (-4.4720122 36.6851118),,,atm,,,,,,,,,Cajamar,,-4.4720122,36.6851118,-497824,4083787,,34
POINT (-4.4707306 36.6830024),Caffe Pascucci Shop Málaga,,cafe,,,,,,,,,,coffee_shop,-4.4707306,36.6830024,-497682,4083552,caffe pascucci shop málaga,34
POINT (-4.472571 36.6850666),CineSur,,cinema,,,,,Calle Jaén,1,29004.0,,,,-4.472571,36.6850666,-497887,4083782,cinesur,34
POINT (-4.4698504 36.685726),,furniture,,,,,,,,,,,,-4.4698504,36.685726,-497584,4083855,,34
POINT (-4.4722382 36.6872383),Muteki Bike,motorcycle,,,,,,Calle Herman Hesse,5,29004.0,,,,-4.4722382,36.6872383,-497850,4084023,muteki bike,34
POINT (-4.4146532 36.7128468),Cruz Roja Española,,,,,ngo,,,,,,,,-4.4146532,36.7128468,-491439,4086874,cruz roja española,-1
POINT (-4.344282 36.8776581),Ventas el Conde,,restaurant,,,,,,,,,,spanish,-4.344282,36.8776581,-483605,4105221,ventas el conde,-1
POINT (-4.416876 36.7221131),El Vegetariano de Alcazabilla,,restaurant,,,,,Calle Pozo del Rey,5,29015.0,,,spanish,-4.416876,36.7221131,-491687,4087906,el vegetariano de alcazabilla,142
POINT (-4.4860366 36.692056),,,post_box,,,,,,,,,,,-4.4860366,36.692056,-499386,4084560,,16
POINT (-4.4828086 36.6580921),,,atm,,,,,,,,,,,-4.4828086,36.6580921,-499026,4080779,,14
POINT (-4.4931297 36.7070417),Farmacia José Antonio Ávila Marinetto,,pharmacy,,pharmacy,,,Carretera Azucarera-Intelhorce,182,29006.0,,,,-4.4931297,36.7070417,-500175,4086228,farmacia josé antonio ávila marinetto,-1
POINT (-4.4224558 36.7218434),Oásis Backpackers Hostel,,,hostel,,,,Calle San Telmo,14,29008.0,,,,-4.4224558,36.7218434,-492308,4087876,oásis backpackers hostel,142
POINT (-4.3781657 36.7209361),Mandala,,bar,,,,,,,,,,,-4.3781657,36.7209361,-487377,4087775,mandala,37
POINT (-4.411017 36.7239267),,,,viewpoint,,,,,,,,,,-4.411017,36.7239267,-491034,4088108,,71
POINT (-4.42497 36.7166212),Banco Sabadell,,bank,,,,,Alameda de Colón,1,29001.0,Banco Sabadell,BBVA,,-4.42497,36.7166212,-492588,4087294,banco sabadell,142
POINT (-4.4240419 36.7178391),,,atm,,,,,,,,Unicaja Banco,Unicaja,,-4.4240419,36.7178391,-492484,4087430,,142
POINT (-4.4264012 36.7182329),NH Málaga,,,hotel,,,,Calle San Jacinto,2,29007.0,,,,-4.4264012,36.7182329,-492747,4087474,nh málaga,-1
POINT (-4.4258365 36.7210315),Ibis Málaga Centro Ciudad,,,hotel,,,,Calle Cerrojo,1,29007.0,Ibis,,,-4.4258365,36.7210315,-492684,4087785,ibis málaga centro ciudad,-1
POINT (-4.4843532 36.6742292),Restaurante Los Bravos,,restaurant,,,,,Calle Argonautas,,29004.0,,,,-4.4843532,36.6742292,-499198,4082575,restaurante los bravos,26
POINT (-4.4875202 36.6753983),,,restaurant,,,,,,,,,,,-4.4875202,36.6753983,-499551,4082705,,26
POINT (-4.4450595 36.7025905),Farmacia Guillermina Quesada Galán,,pharmacy,,pharmacy,,,Avenida Europa,51,29003.0,,,,-4.4450595,36.7025905,-494824,4085732,farmacia guillermina quesada galán,-1
POINT (-4.3636595 36.74421),,,,viewpoint,,,,,,,,,,-4.3636595,36.74421,-485763,4090365,,-1
POINT (-4.359102 36.7454334),,,,viewpoint,,,,,,,,,,-4.359102,36.7454334,-485255,4090502,,-1
POINT (-4.4648587 36.6659613),Farmacia María Luisa Jiménez,,pharmacy,,pharmacy,,,Calle Rogelio Oliva,29,29004.0,,,,-4.4648587,36.6659613,-497028,4081655,farmacia maría luisa jiménez,13
POINT (-4.4649311 36.6658661),Peluquería Fernando,hairdresser,,,,,,Calle Rogelio Oliva,29,29004.0,,,,-4.4649311,36.6658661,-497036,4081644,peluquería fernando,13
POINT (-4.4646124 36.6658575),,,veterinary,,,,,Calle Rogelio Oliva,29,29004.0,,,,-4.4646124,36.6658575,-497001,4081643,,13
POINT (-4.4647599 36.66592),Openmar,confectionery,,,,,,Calle Rogelio Oliva,29,29004.0,,,,-4.4647599,36.66592,-497017,4081650,openmar,13
POINT (-4.4615724 36.6643262),Oasis,supermarket,,,,,,Calle Rogelio Oliva,15,29004.0,,,,-4.4615724,36.6643262,-496662,4081473,oasis,13
POINT (-4.4637777 36.6646108),,,post_box,,,,,,,,Correos,Correos,,-4.4637777,36.6646108,-496908,4081504,,13
POINT (-4.4614229 36.6642406),Tick Tack Arrocería,,restaurant,,,,,Calle Rogelio Oliva,15,29004.0,,,,-4.4614229,36.6642406,-496646,4081463,tick tack arrocería,13
POINT (-4.375801 36.7222544),Hostal El Nogal,,,hostel,,,,Avenida Juan Sebastián Elcano,62,29017.0,,,,-4.375801,36.7222544,-487114,4087921,hostal el nogal,37
POINT (-4.3764355 36.722233),Recyclo Bike Shop Pedregalejo,bicycle,,,,,,Avenida Juan Sebastián Elcano,50,29017.0,,,,-4.3764355,36.722233,-487185,4087919,recyclo bike shop pedregalejo,37
POINT (-4.3761191 36.7225657),,,pharmacy,,pharmacy,,,Calle Juan Valera,2,29017.0,,,,-4.3761191,36.7225657,-487150,4087956,,37
POINT (-4.3817767 36.7216766),Car Glass,car_repair,,,,,,Avenida Pintor Joaquín Sorolla,70,29017.0,,,,-4.3817767,36.7216766,-487779,4087857,car glass,35
POINT (-4.4406057 36.6944677),Farmacia Pacífico,,pharmacy,,pharmacy,,,Calle Pacífico,34,29004.0,,,,-4.4406057,36.6944677,-494328,4084828,farmacia pacífico,95
POINT (-4.4408537 36.6940438),Banco Santander,,bank,,,,,Calle Pacífico,36,29004.0,Banco Santander,Banco Santander,,-4.4408537,36.6940438,-494356,4084781,banco santander,95
POINT (-4.4187716 36.7217942),Residencia Universitaria San José,,,hostel,,,,Calle San José,3,29015.0,,,,-4.4187716,36.7217942,-491898,4087870,residencia universitaria san josé,142
POINT (-4.4253727 36.7151403),Cenfar,,,,,therapist,,Avenida Comandante Benítez,"6, 1º-2",,,,,-4.4253727,36.7151403,-492632,4087129,cenfar,142
POINT (-4.4210516 36.7184077),Cafetería Plaza,,cafe,,,,,,,,,,,-4.4210516,36.7184077,-492151,4087493,cafetería plaza,142
POINT (-4.4209272 36.7184436),McDonald's,,fast_food,,,,,,,,McDonald's,,burger,-4.4209272,36.7184436,-492138,4087497,mcdonald's,142
POINT (-4.4815404 36.7396111),Supermercado Luque,supermarket,,,,,,Calle Lope de Rueda,136,29190.0,Coviran,,,-4.4815404,36.7396111,-498885,4089854,supermercado luque,17
POINT (-4.4360048 36.7212886),La Plaza de Dia,supermarket,,,,,,Calle Martínez Maldonado,53,,Dia,,,-4.4360048,36.7212886,-493816,4087814,la plaza de dia,122
POINT (-4.4377489 36.7036104),,vacant,,,,,,Calle La Hoz,14,29002.0,,,,-4.4377489,36.7036104,-494010,4085846,,115
POINT (-4.4171596 36.7225917),Brunchit,,restaurant,,,,,Calle Alcazabilla,15,29015.0,,,,-4.4171596,36.7225917,-491718,4087959,brunchit,142
POINT (-4.4206242 36.7223073),Pepa y Pepe,,restaurant,,,,,,,,,,,-4.4206242,36.7223073,-492104,4087927,pepa y pepe,142
POINT (-4.42066 36.7221926),Taberna Matahambre,,restaurant,,,,,,,,,,,-4.42066,36.7221926,-492108,4087914,taberna matahambre,142
POINT (-4.4203611 36.7236525),El Beato,,restaurant,,,,,,,,,,,-4.4203611,36.7236525,-492075,4088077,el beato,142
POINT (-4.420374 36.7227884),Banco Sabadell,,bank,,,,,,,,Banco Sabadell,SabadellAtlántico,,-4.420374,36.7227884,-492076,4087981,banco sabadell,142
POINT (-4.4199945 36.7216203),Unicaja Banco,,bank,,,,,,,29015.0,Unicaja Banco,Unicaja,,-4.4199945,36.7216203,-492034,4087851,unicaja banco,142
POINT (-4.4801057 36.7396407),Panadería San Martín,bakery,,,,,,Calle Escritor Ambrosio Fernández Merino,3,29190.0,,,,-4.4801057,36.7396407,-498725,4089857,panadería san martín,17
POINT (-4.3533031 36.8209384),Venta Galwey,,restaurant,,,,,,,,,,regional,-4.3533031,36.8209384,-484610,4098907,venta galwey,1
POINT (-4.5654367 36.7340989),,bakery,,,,,,,,,,,,-4.5654367,36.7340989,-508224,4089240,,3
POINT (-4.4251477 36.7160526),,,atm,,,,,,,,,Banco Santander,,-4.4251477,36.7160526,-492607,4087231,,142
POINT (-4.4249223 36.7152894),Mas,supermarket,,,,,,Alameda de Colón,12,29001.0,Mas,,,-4.4249223,36.7152894,-492582,4087146,mas,142
POINT (-4.4250576 36.7157529),Cajasur,,bank,,,,,,,,,BBK,,-4.4250576,36.7157529,-492597,4087198,cajasur,142
POINT (-4.4247153 36.7654198),Mirador de los Pinos,,,viewpoint,,,,,,,,,,-4.4247153,36.7654198,-492559,4092727,mirador de los pinos,-1
POINT (-4.425822 36.7604124),La Tienda de la Concepción,gift,,,,,,,,,,,,-4.425822,36.7604124,-492683,4092169,la tienda de la concepción,-1
POINT (-4.4301391 36.7122812),Hotel Las Américas,,,hotel,,,,Calle Cuarteles,66,29002.0,,,,-4.4301391,36.7122812,-493163,4086811,hotel las américas,137
POINT (-4.4265322 36.7150034),Hotel Guadalmedina,,,hotel,,,,Pasillo del Matadero,16,29002.0,,,,-4.4265322,36.7150034,-492762,4087114,hotel guadalmedina,-1
POINT (-4.4237409 36.7150771),,,,hotel,,,,,,,,,,-4.4237409,36.7150771,-492451,4087122,,142
POINT (-4.421739 36.7160403),Hotel Alameda Málaga,,,hotel,,,,Calle Córdoba,15,29001.0,,,,-4.421739,36.7160403,-492228,4087230,hotel alameda málaga,142
POINT (-4.4219537 36.7165469),Castilla Guerrero,,,hotel,,,,Calle Córdoba,7,29001.0,,,,-4.4219537,36.7165469,-492252,4087286,castilla guerrero,142
POINT (-4.4277714 36.7185058),Ibis Budget Málaga Centro,,,hotel,,,,Calle Calvo,4,29007.0,Ibis Budget,,,-4.4277714,36.7185058,-492900,4087504,ibis budget málaga centro,126
POINT (-4.4238889 36.719354),,,,hotel,,,,,,,,,,-4.4238889,36.719354,-492467,4087598,,142
POINT (-4.4114969 36.7197857),Hotel MS Maestranza,,,hotel,,,,Avenida Cánovas del Castillo,1,29016.0,,,,-4.4114969,36.7197857,-491088,4087647,hotel ms maestranza,-1
POINT (-4.4181524 36.7203822),Hotel Carlos V,,,hotel,,,,,,,,,,-4.4181524,36.7203822,-491829,4087713,hotel carlos v,142
POINT (-4.4219918 36.7206246),,,,hotel,,,,,,,,,,-4.4219918,36.7206246,-492256,4087740,,142
POINT (-4.4249392 36.7207968),,,,hotel,,,,,,,,,,-4.4249392,36.7207968,-492584,4087759,,142
POINT (-4.410672 36.7211543),,,,hotel,,,,Paseo de Reding,21,29016.0,,,,-4.410672,36.7211543,-490996,4087799,,-1
POINT (-4.4248696 36.7216716),Tribuna,,,hotel,,,,Calle Carretería,6,29008.0,,,,-4.4248696,36.7216716,-492576,4087856,tribuna,142
POINT (-4.4189603 36.7235585),,,,hotel,,,,,,,,,,-4.4189603,36.7235585,-491919,4088067,,142
POINT (-4.4241687 36.7160848),Feel Málaga Hostel Siente Turismo,,,hotel,,,,Calle Vendeja,25,29001.0,,,,-4.4241687,36.7160848,-492498,4087235,feel málaga hostel siente turismo,142
POINT (-4.4096794 36.7201828),Unicaja Banco,,bank,,,,,Calle Puerto,2,29016.0,Unicaja Banco,Unicaja,,-4.4096794,36.7201828,-490886,4087691,unicaja banco,-1
POINT (-4.4096112 36.7203523),Banco Santander,,bank,,,,,Calle Cervantes,3,,Banco Santander,,,-4.4096112,36.7203523,-490878,4087710,banco santander,81
POINT (-4.4114487 36.7228727),,,,viewpoint,,,,,,,,,,-4.4114487,36.7228727,-491082,4087990,,71
POINT (-4.4127233 36.7232963),,,,viewpoint,,,,,,,,,,-4.4127233,36.7232963,-491224,4088037,,-1
POINT (-4.4106902 36.7235029),,,,viewpoint,,,,,,,,,,-4.4106902,36.7235029,-490998,4088060,,71
POINT (-4.4192671 36.7222345),Clandestino,,restaurant,,,,,,,,,,,-4.4192671,36.7222345,-491953,4087919,clandestino,142
POINT (-4.4172764 36.7218492),La Plaza,,restaurant,,,,,Calle Alcazabilla,7,29015.0,,,spanish,-4.4172764,36.7218492,-491731,4087876,la plaza,142
POINT (-4.4339195 36.7117478),,,cinema,,,,,Calle Explanada de la Estación,1,29002.0,,,,-4.4339195,36.7117478,-493584,4086752,,-1
POINT (-4.4309521 36.7180938),Farmacia García Carmona,,pharmacy,,pharmacy,,,Calle Huéscar,2,29007.0,,,,-4.4309521,36.7180938,-493254,4087458,farmacia garcía carmona,130
POINT (-4.4310802 36.7181577),,,atm,,,,,,,,,,,-4.4310802,36.7181577,-493268,4087465,,130
POINT (-4.4216055 36.7185269),,,atm,,,,,,,,,BBVA,,-4.4216055,36.7185269,-492213,4087506,,142
POINT (-4.4216125 36.7189041),,,atm,,,,,,,,Banco Popular,Banco Popular,,-4.4216125,36.7189041,-492214,4087548,,142
POINT (-4.4219875 36.718864),,,atm,,,,,,,,,,,-4.4219875,36.718864,-492256,4087544,,142
POINT (-4.4345534 36.721321),Heladeria Los Turroneros,,cafe,,,,,,,,,,,-4.4345534,36.721321,-493654,4087817,heladeria los turroneros,122
POINT (-4.4215235 36.7218798),Banco Santander,,bank,,,,,Calle Luis de Velázquez,1,29008.0,Banco Santander,Banco Santander,,-4.4215235,36.7218798,-492204,4087880,banco santander,142
POINT (-4.4186772 36.7220096),,,atm,,,,,,,,,ING,,-4.4186772,36.7220096,-491887,4087894,,142
POINT (-4.4199932 36.7232441),,convenience,,,,,,,,,,,,-4.4199932,36.7232441,-492034,4088032,,142
POINT (-4.4197383 36.7216918),Mesón Gibralfaro,,bar,,,,,,,,,,,-4.4197383,36.7216918,-492005,4087859,mesón gibralfaro,142
POINT (-4.4954349 36.678247),Dehesa Santol Maria,,cafe,,,,,,,,,,,-4.4954349,36.678247,-500432,4083022,dehesa santol maria,25
POINT (-4.4953094 36.6781268),The Express Shop,convenience,,,,,,,,,,,,-4.4953094,36.6781268,-500418,4083009,the express shop,25
POINT (-4.4426898 36.6930518),Farmacia Carmen Palomar,,pharmacy,,pharmacy,,,Calle Omar,20,29004.0,,,,-4.4426898,36.6930518,-494560,4084671,farmacia carmen palomar,-1
POINT (-4.4273264 36.7104596),Hotel Ilunion Málaga,,,hotel,,,,Paseo Antonio Machado,10,29002.0,Ilunion Hotels,Ilunion,,-4.4273264,36.7104596,-492850,4086608,hotel ilunion málaga,124
POINT (-4.4416453 36.7305619),Farmacia Felix Sánchez Onaindia,,pharmacy,,pharmacy,,,,2,29011.0,,,,-4.4416453,36.7305619,-494444,4088846,farmacia felix sánchez onaindia,90
POINT (-4.4396268 36.7302563),Farmacia Barranco y Barceló,,pharmacy,,pharmacy,,,Calle Nuestra Señora de los Clarines,7,29011.0,,,,-4.4396268,36.7302563,-494219,4088812,farmacia barranco y barceló,90
POINT (-4.4378367 36.7311539),Farmacia Sagrario Serrano,,pharmacy,,pharmacy,,,Calle Nuestra Señora de los Clarines,20,29011.0,,,,-4.4378367,36.7311539,-494020,4088912,farmacia sagrario serrano,90
POINT (-4.5658363 36.7332278),,bakery,,,,,,,,,,,,-4.5658363,36.7332278,-508269,4089143,,3
POINT (-4.5655696 36.7328978),La Mirada,,pub,,,,,Avenida Profesor García Rodeja,63,29591.0,,,,-4.5655696,36.7328978,-508239,4089106,la mirada,3
POINT (-4.431232 36.733972),McDonald's,,fast_food,,,,,,,,McDonald's,,burger,-4.431232,36.733972,-493285,4089226,mcdonald's,77
POINT (-4.4321976 36.7350167),Carrefour,supermarket,,,,,,,,,Carrefour,Groupe Carrefour,,-4.4321976,36.7350167,-493392,4089342,carrefour,77
POINT (-4.44014 36.7296948),Dia,supermarket,,,,,,,,,Dia,,,-4.44014,36.7296948,-494276,4088750,dia,90
POINT (-4.4393187 36.7291399),La Plaza de Dia,supermarket,,,,,,,,,Dia,,,-4.4393187,36.7291399,-494185,4088688,la plaza de dia,90
POINT (-4.4419928 36.7291813),Supersol,supermarket,,,,,,,,,Supersol,,,-4.4419928,36.7291813,-494483,4088692,supersol,-1
POINT (-4.4393411 36.7305193),Candelaria,,cafe,,,,,Calle Nuestra Señora de los Clarines,9,29011.0,,,,-4.4393411,36.7305193,-494187,4088841,candelaria,90
POINT (-4.4390472 36.7301535),Cajamar,,bank,,,,,,,,Cajamar,,,-4.4390472,36.7301535,-494155,4088801,cajamar,90
POINT (-4.4393235 36.7299207),Unicaja Banco,,atm,,,,,,,,Unicaja Banco,Unicaja,,-4.4393235,36.7299207,-494185,4088775,unicaja banco,90
POINT (-4.439295 36.7299525),BBVA,,bank,,,,,,,,BBVA,BBVA,,-4.439295,36.7299525,-494182,4088778,bbva,90
POINT (-4.4590472 36.6886976),,car_repair,,,,,,,,,,,,-4.4590472,36.6886976,-496381,4084186,,60
POINT (-4.4601457 36.6874134),McDonald's,,fast_food,,,,,,,,McDonald's,,burger,-4.4601457,36.6874134,-496503,4084043,mcdonald's,64
POINT (-4.4176305 36.7334256),Mirador de San Miguel,,,viewpoint,,,,,,,,,,-4.4176305,36.7334256,-491771,4089165,mirador de san miguel,-1
POINT (-4.3497122 36.8421998),Molino de Viento,kiosk,,,,,,,,,,,,-4.3497122,36.8421998,-484210,4101274,molino de viento,-1
POINT (-4.4549181 36.6645078),Observatorio de Aves Marinas,,,viewpoint,,,,,,,,,,-4.4549181,36.6645078,-495921,4081493,observatorio de aves marinas,-1
POINT (-4.418836 36.72142),La Tetería,,cafe,,,,,,,,,,,-4.418836,36.72142,-491905,4087828,la tetería,142
POINT (-4.3664666 36.719847),Clínica Veterinaria Echevarría,,veterinary,,,,,Calle Bolivia,286,29017.0,,,,-4.3664666,36.719847,-486075,4087653,clínica veterinaria echevarría,-1
POINT (-4.3664585 36.7230926),Hostal Moscatel,,,hostel,,,,Calle Conde de las Navas,9,29017.0,,,,-4.3664585,36.7230926,-486074,4088015,hostal moscatel,39
POINT (-4.4841362 36.6741189),Asociación Empresarial de Vehículos de Alquiler de Andalucía,,,,,association,,Calle Argonautas,49,29004.0,,,,-4.4841362,36.6741189,-499174,4082563,asociación empresarial de vehículos de alquiler de andalucía,26
POINT (-4.4423937 36.6897788),Bellavista Mare,,restaurant,,,,,Paseo Marítimo Antonio Banderas,28,29004.0,,,italian,-4.4423937,36.6897788,-494527,4084306,bellavista mare,-1
POINT (-4.4452194 36.6903106),Marisquería La Mayor,,restaurant,,,,,,,,,,seafood,-4.4452194,36.6903106,-494842,4084365,marisquería la mayor,99
POINT (-4.3600135 36.7205153),Dia,supermarket,,,,,,,,29017.0,Dia,,,-4.3600135,36.7205153,-485357,4087728,dia,39
POINT (-4.3598611 36.7190459),Maruchi,,fast_food,,,,,Calle Quitapenas,111,29017.0,,,burger,-4.3598611,36.7190459,-485340,4087564,maruchi,39
POINT (-4.3603833 36.726052),Clinica Miraflores,,veterinary,,,,,Calle Francisco Gillón,11,29017.0,,,,-4.3603833,36.726052,-485398,4088344,clinica miraflores,-1
POINT (-4.4865993 36.718191),Bicis Buendia,bicycle,,,,,,Bulevar Louis Pasteur,46,29010.0,,,,-4.4865993,36.718191,-499448,4087469,bicis buendia,-1
POINT (-4.4620296 36.717643),Centro Veterinario Teatinos,,veterinary,,,,,,,,,,,-4.4620296,36.717643,-496713,4087408,centro veterinario teatinos,57
POINT (-4.4648354 36.7160431),Farmacia Laza García,,pharmacy,,pharmacy,,,Calle Franz Kafka,15,29010.0,,,,-4.4648354,36.7160431,-497025,4087230,farmacia laza garcía,58
POINT (-4.4185383 36.7243416),Coworking The Translation Factory,,coworking_space,,,coworking,,Calle Ramos Marín,2,,,,,-4.4185383,36.7243416,-491872,4088154,coworking the translation factory,142
POINT (-4.5034269 36.6696755),Cajamar,,bank,,,,,,,,Cajamar,,,-4.5034269,36.6696755,-501321,4082068,cajamar,28
POINT (-4.502809 36.6691101),Unicaja Banco,,bank,,,,,,11,29140.0,Unicaja Banco,Unicaja,,-4.502809,36.6691101,-501253,4082005,unicaja banco,28
POINT (-4.4629871 36.7172731),MataHambre,,restaurant,,,,,,,,,,regional,-4.4629871,36.7172731,-496820,4087367,matahambre,57
POINT (-4.5035612 36.6697284),Café Pizzería La Capricho,,restaurant,,,,,Camino Nuevo,3,29140.0,,,,-4.5035612,36.6697284,-501336,4082074,café pizzería la capricho,28
POINT (-4.5028987 36.6697948),Churriana,,taxi,,,,,,,,,Oficina Municipal del Taxi,,-4.5028987,36.6697948,-501263,4082082,churriana,28
POINT (-4.5036575 36.6676729),Farmacia Fernández Álvarez,,pharmacy,,pharmacy,,,Calle Teresa Blasco,8,29140.0,,,,-4.5036575,36.6676729,-501347,4081845,farmacia fernández álvarez,27
POINT (-4.5038404 36.6697253),Farmacia Martín de los Ríos,,pharmacy,,pharmacy,,,Camino Nuevo,9,29140.0,,,,-4.5038404,36.6697253,-501368,4082074,farmacia martín de los ríos,28
