geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,madrid_hdbscan_5_5
POINT (-3.6644631 40.4303433),,vacant,,,,,,Calle de Alcalá,233,28028,,,,-3.6644631,40.4303433,-407928,4500706,,857
POINT (-3.664785 40.4301842),Zings,gift,,,,,,,,,,,,-3.664785,40.4301842,-407964,4500688,zings,857
POINT (-3.7133018 40.4250782),Vips,,restaurant,,,,,Calle de la Princesa,5,28008,Vips,,international,-3.7133018,40.4250782,-413365,4500120,vips,1121
POINT (-3.7134151 40.4255522),Shoo Loong Kan,,restaurant,,,,,Calle de Santa María Micaela,,28008,,,chinese,-3.7134151,40.4255522,-413377,4500172,shoo loong kan,1121
POINT (-3.7135233 40.425619),Grosso,,restaurant,,,,,Calle de Ventura Rodríguez,5,28008,,,pizza,-3.7135233,40.425619,-413389,4500180,grosso,1121
POINT (-3.7677557 40.3989129),Covirán,supermarket,,,,,,,,,Covirán,,,-3.7677557,40.3989129,-419427,4497207,covirán,263
POINT (-3.7684256 40.3970697),Chiquitín,,bar,,,,,,,,,,,-3.7684256,40.3970697,-419501,4497002,chiquitín,263
POINT (-3.7675391 40.3983967),,bakery,,,,,,,,,,,,-3.7675391,40.3983967,-419402,4497150,,263
POINT (-3.6825992 40.4223463),2 y Media Systems,computer,,,,,,Calle de Villanueva,35,,,,,-3.6825992,40.4223463,-409947,4499816,2 y media systems,860
POINT (-3.6189473 40.3736599),Jofimática,computer,,,,,,,,,,,,-3.6189473,40.3736599,-402861,4494396,jofimática,102
POINT (-3.6194482 40.3729408),Ahorramás,supermarket,,,,,,Calle del Congosto,32,,Ahorramás,,,-3.6194482,40.3729408,-402917,4494316,ahorramás,102
POINT (-3.6201172 40.3762061),,greengrocer,,,,,,,,,,,,-3.6201172,40.3762061,-402991,4494679,,102
POINT (-3.6201467 40.374643),Carlos,seafood,,,,,,,,,,,,-3.6201467,40.374643,-402995,4494505,carlos,102
POINT (-3.6200287 40.3742425),Pastelería Lara,bakery,,,,,,,,,,,,-3.6200287,40.3742425,-402982,4494461,pastelería lara,102
POINT (-3.6667859 40.4288584),Librería Don Bosco,books,,,,,,Calle de Alcalá,164,28009,,,,-3.6667859,40.4288584,-408187,4500541,librería don bosco,857
POINT (-3.7517429 40.3623374),,convenience,,,,,,,,,,,,-3.7517429,40.3623374,-417644,4493135,,379
POINT (-3.7522284 40.3623701),Ibercaja,,bank,,,,,,,,Ibercaja,,,-3.7522284,40.3623701,-417698,4493139,ibercaja,379
POINT (-3.7519736 40.3623456),The Royal Tavern,,pub,,,,,,,,,,,-3.7519736,40.3623456,-417670,4493136,the royal tavern,379
POINT (-3.7518663 40.3618388),Jocapal,,,,,company,,,,,,,,-3.7518663,40.3618388,-417658,4493080,jocapal,379
POINT (-3.7520783 40.3618592),English Connection,,school,,,,,,,,,,,-3.7520783,40.3618592,-417681,4493082,english connection,379
POINT (-3.7527112 40.3618919),Mejor Imposible,,bar,,,,,,,,,,,-3.7527112,40.3618919,-417752,4493086,mejor imposible,379
POINT (-3.7526093 40.3618878),Tartalia,confectionery,,,,,,,,,,,,-3.7526093,40.3618878,-417740,4493085,tartalia,379
POINT (-3.752856 40.3618878),Papa John's,,fast_food,,,,,,,,Papa John's,,pizza,-3.752856,40.3618878,-417768,4493085,papa john's,379
POINT (-3.7527784 40.361896),Seguros AXA,,,,,insurance,,,,,AXA,,,-3.7527784,40.361896,-417759,4493086,seguros axa,379
POINT (-3.7674717 40.398528),Bar Navas,,bar,,,,,,,,,,,-3.7674717,40.398528,-419395,4497164,bar navas,263
POINT (-3.7673032 40.3981337),Bar Rafael,,bar,,,,,,,,,,,-3.7673032,40.3981337,-419376,4497120,bar rafael,263
POINT (-3.7681614 40.3974994),Cervecería Jamón y Pan,,pub,,,,,,,,,,,-3.7681614,40.3974994,-419472,4497050,cervecería jamón y pan,263
POINT (-3.6642811 40.4305735),ibis Madrid Centro las Ventas,,,hotel,,,,Calle de Julio Camba,1,28028,Ibis,Accor Hotels,,-3.6642811,40.4305735,-407908,4500731,ibis madrid centro las ventas,857
POINT (-3.7225752 40.407298),Madrid Río Café Andorra,,cafe,,,,,,,,,,,-3.7225752,40.407298,-414397,4498140,madrid río café andorra,445
POINT (-3.6978462 40.4106999),Vinícola Mentridana,,bar,,,,,Calle de San Eugenio,9,28012,,,,-3.6978462,40.4106999,-411644,4498519,vinícola mentridana,1208
POINT (-3.7680269 40.3980249),Hierbabuena,,bar,,,,,,,,,,,-3.7680269,40.3980249,-419457,4497108,hierbabuena,263
POINT (-3.7675502 40.3982952),,,post_box,,,,,,,,Correos,Correos,,-3.7675502,40.3982952,-419404,4497138,,263
POINT (-3.7674965 40.3984668),Juan y Eli,hairdresser,,,,,,,,,,,,-3.7674965,40.3984668,-419398,4497157,juan y eli,263
POINT (-3.7674462 40.3985959),Decoraciones Sol,interior_decoration,,,,,,,,,,,,-3.7674462,40.3985959,-419392,4497172,decoraciones sol,263
POINT (-3.7129242 40.40813),Puerta De Toledo,,veterinary,,,,,,,,,,,-3.7129242,40.40813,-413323,4498233,puerta de toledo,991
POINT (-3.7127568 40.4088868),M. Belén,hairdresser,,,,,,Calle del Águila,23,,,,,-3.7127568,40.4088868,-413304,4498317,m. belén,991
POINT (-3.7124473 40.4075052),Centro Dental Gran Vía De San Francisco,,dentist,,dentist,,,,,,,,,-3.7124473,40.4075052,-413270,4498163,centro dental gran vía de san francisco,991
POINT (-3.7130604 40.4082985),Ribadeza,,bar,,,,,,,,,,,-3.7130604,40.4082985,-413338,4498252,ribadeza,991
POINT (-3.7126971 40.4078348),Talleres E. Calderón,car_repair,,,,,,,,,,,,-3.7126971,40.4078348,-413297,4498200,talleres e. calderón,991
POINT (-3.7128005 40.4087054),Telepizza,,fast_food,,,,,,,,Telepizza,,pizza,-3.7128005,40.4087054,-413309,4498297,telepizza,991
POINT (-3.6507476 40.4892876),La Pulpería del Peregrino,,restaurant,,,,,Calle del Príncipe Carlos,30,28050,,,regional,-3.6507476,40.4892876,-406401,4507267,la pulpería del peregrino,126
POINT (-3.6507042 40.4884698),Restaurante Santamago,,restaurant,,,,,Calle del Príncipe Carlos,24,28050,,,,-3.6507042,40.4884698,-406396,4507176,restaurante santamago,126
POINT (-3.7133788 40.4259006),Hanan,,restaurant,,,,,Calle de Ventura Rodríguez,3,28008,,,ethiopian,-3.7133788,40.4259006,-413373,4500211,hanan,1121
POINT (-3.7128556 40.4080482),Doble Doble,hairdresser,,,,,,,,,,,,-3.7128556,40.4080482,-413315,4498224,doble doble,991
POINT (-3.7126477 40.4077709),Corroto,hairdresser,,,,,,,,,,,,-3.7126477,40.4077709,-413292,4498193,corroto,991
POINT (-3.7127458 40.407892),Mesón O'agarimo,,bar,,,,,,,,,,,-3.7127458,40.407892,-413303,4498207,mesón o'agarimo,991
POINT (-3.7623418 40.3960621),Bar Ibiza,,bar,,,,,Calle de Escalona,69,28024,,,,-3.7623418,40.3960621,-418824,4496890,bar ibiza,247
POINT (-3.7618321 40.3965866),Carrefour Market,supermarket,,,,,,Calle de Escalona,,28024,Carrefour Market,Carrefour,,-3.7618321,40.3965866,-418767,4496948,carrefour market,247
POINT (-3.7131039 40.4259213),Kai Thai,,restaurant,,,,,Calle de la Princesa,13,28008,,,thai,-3.7131039,40.4259213,-413343,4500214,kai thai,1121
POINT (-3.7129917 40.4257671),The Good Burger,,fast_food,,,,,Calle de la Princesa,13,28008,The Good Burger,,burger,-3.7129917,40.4257671,-413330,4500196,the good burger,1121
POINT (-3.7129361 40.4256909),Foster Hollywood,,restaurant,,,,,Calle de la Princesa,13,28008,,,burger,-3.7129361,40.4256909,-413324,4500188,foster hollywood,1121
POINT (-3.712753 40.4254435),100 Montaditos,,restaurant,,,,,Calle de la Princesa,7,28008,100 Montaditos,,sandwich,-3.712753,40.4254435,-413304,4500160,100 montaditos,1121
POINT (-3.7072915 40.4252419),Cervecería Padrón,,restaurant,,,,,Calle de San Bernardo,56,28015,,,regional,-3.7072915,40.4252419,-412696,4500138,cervecería padrón,1332
POINT (-3.7072923 40.4253064),Style,clothes,,,,,,Calle de San Bernardo,56,28015,,,,-3.7072923,40.4253064,-412696,4500145,style,1332
POINT (-3.7078851 40.4261347),La Gringa,,restaurant,,,,,Calle de San Vicente Ferrer,57,28015,,,american,-3.7078851,40.4261347,-412762,4500237,la gringa,1275
POINT (-3.7132192 40.4249437),Indalo,,restaurant,,,,,Calle de la Princesa,3,28008,,,regional,-3.7132192,40.4249437,-413356,4500105,indalo,1121
POINT (-3.7129761 40.4253103),Tapa Tapa,,restaurant,,,,,Plaza de los Cubos,,28008,,,tapas,-3.7129761,40.4253103,-413328,4500146,tapa tapa,1121
POINT (-3.7133451 40.4253937),Ginos,,restaurant,,,,,Calle de la Princesa,5,28008,Ginos,,italian,-3.7133451,40.4253937,-413370,4500155,ginos,1121
POINT (-3.7134716 40.4257426),Bora Bora,,bar,,,,,Calle de Ventura Rodríguez,5,28008,,,,-3.7134716,40.4257426,-413384,4500194,bora bora,1121
POINT (-3.7136633 40.4258193),El Cisne,,restaurant,,,,,Calle de Ventura Rodríguez,4,28008,,,regional,-3.7136633,40.4258193,-413405,4500202,el cisne,1121
POINT (-3.7135879 40.4259226),Princesa,bakery,,,,,,Calle de Ventura Rodríguez,4,28008,,,,-3.7135879,40.4259226,-413397,4500214,princesa,1121
POINT (-3.6288617 40.4632163),Mountain Tandoori Nepali-Indian Restaurant,,restaurant,,,,,Plaza de Andrés Jáuregui,18,28043,,,,-3.6288617,40.4632163,-403965,4504365,mountain tandoori nepali-indian restaurant,198
POINT (-3.6288672 40.4629021),Vopâti Pâtisserie,pastry,,,,,,,,,,,,-3.6288672,40.4629021,-403965,4504330,vopâti pâtisserie,198
POINT (-3.628863 40.4630986),Qosco,,restaurant,,,,,,,,,,peruvian,-3.628863,40.4630986,-403965,4504352,qosco,198
POINT (-3.7000819 40.4144703),Room Mate Alicia Hotel,,,hotel,,,,Calle del Prado,2,28014,Room Mate,Room Mate,,-3.7000819,40.4144703,-411893,4498939,room mate alicia hotel,1174
POINT (-3.7134354 40.4248581),Krüger,,restaurant,,,,,Calle de la Princesa,5,28008,,,german,-3.7134354,40.4248581,-413380,4500095,krüger,1121
POINT (-3.707993 40.4262059),Tomé Shoemaker,shoes,,,,,,Calle de San Vicente Ferrer,74,28015,,,,-3.707993,40.4262059,-412774,4500245,tomé shoemaker,1275
POINT (-3.7005981 40.4144215),Pintxibar,,restaurant,,,,,Plaza de Santa Ana,8,28012,,,tapas,-3.7005981,40.4144215,-411951,4498933,pintxibar,1174
POINT (-3.6926965 40.4467064),,,fast_food,,,,,,,,,,hot_dog,-3.6926965,40.4467064,-411071,4502527,,676
POINT (-3.713276 40.4254662),De Elisa,,restaurant,,,,,Calle de Santa María Micaela,4,28008,,,regional,-3.713276,40.4254662,-413362,4500163,de elisa,1121
POINT (-3.6514018 40.4867366),,,post_box,,,,,,,,,,,-3.6514018,40.4867366,-406474,4506984,,126
POINT (-3.7033776 40.4495685),Bankinter,,atm,,,,,,,,Bankinter,Bankinter,,-3.7033776,40.4495685,-412260,4502846,bankinter,935
POINT (-3.7033662 40.4496893),,,atm,,,,,,,,,Sabadell Atlántico,,-3.7033662,40.4496893,-412259,4502859,,935
POINT (-3.70335 40.4498613),Yves Rocher,beauty,,,,,,,,,Yves Rocher,,,-3.70335,40.4498613,-412257,4502879,yves rocher,935
POINT (-3.7033899 40.4495391),Bankinter,,bank,,,,,,,,Bankinter,,,-3.7033899,40.4495391,-412261,4502843,bankinter,935
POINT (-3.7033712 40.4496368),Banco Sabadell,,bank,,,,,,,,Banco Sabadell,,,-3.7033712,40.4496368,-412259,4502854,banco sabadell,935
POINT (-3.7033912 40.4494244),Mirta Gómez,shoes,,,,,,,,,,,,-3.7033912,40.4494244,-412262,4502830,mirta gómez,935
POINT (-3.7033876 40.4494622),Museo del Jamón 2,,cafe,,,,,,,,,,,-3.7033876,40.4494622,-412261,4502834,museo del jamón 2,935
POINT (-3.7032293 40.4505421),Chloe Lan,,cafe,,,,,,,,,,,-3.7032293,40.4505421,-412243,4502954,chloe lan,935
POINT (-3.703302 40.4501053),Cati Calzados,shoes,,,,,,,,,,,,-3.703302,40.4501053,-412252,4502906,cati calzados,935
POINT (-3.7033047 40.4502216),GAES,hearing_aids,,,,,,,,,GAES,,,-3.7033047,40.4502216,-412252,4502919,gaes,935
POINT (-3.7032242 40.4506217),Okey So,gift,,,,,,,,,,,,-3.7032242,40.4506217,-412243,4502963,okey so,935
POINT (-3.703302 40.4501625),Aplauso calzados,shoes,,,,,,,,,,,,-3.703302,40.4501625,-412252,4502912,aplauso calzados,935
POINT (-3.7033208 40.4500134),Smöoy,,fast_food,,,,,,,,,,,-3.7033208,40.4500134,-412254,4502895,smöoy,935
POINT (-3.6828588 40.4217694),Maitake,,restaurant,,,,,Calle de Alcalá,,,,,japanese,-3.6828588,40.4217694,-409976,4499751,maitake,860
POINT (-3.6194854 40.3735088),Los Barriles,,restaurant,,,,,,,,,,regional,-3.6194854,40.3735088,-402921,4494379,los barriles,102
POINT (-3.7033551 40.4498077),Joyas Hada,jewelry,,,,,,,,,,,,-3.7033551,40.4498077,-412257,4502873,joyas hada,935
POINT (-3.7033634 40.4497197),Asesoría MMWT,,,,,lawyer,,,,,,,,-3.7033634,40.4497197,-412258,4502863,asesoría mmwt,935
POINT (-3.7036202 40.450164),,kiosk,,,,,,,,,,,,-3.7036202,40.450164,-412287,4502912,,935
POINT (-3.7046455 40.4467011),Audrey,,cafe,,,,,,,,,,,-3.7046455,40.4467011,-412401,4502527,audrey,898
POINT (-3.6950343 40.5062657),Avanza Fisioterapia,,,,physiotherapist,,,Calle del Monasterio de Silos,65,,,,,-3.6950343,40.5062657,-411331,4509157,avanza fisioterapia,91
POINT (-3.6889356 40.463196),La Morena,,restaurant,,,,,Paseo de la Castellana,210,28036,,,burger,-3.6889356,40.463196,-410652,4504363,la morena,635
POINT (-3.6666316 40.429229),,,post_box,,,,,,,,,,,-3.6666316,40.429229,-408169,4500582,,857
POINT (-3.7039552 40.4331399),Carrefour Market,supermarket,,,,,,Calle de Fuencarral,158-160,28010,Carrefour Market,,,-3.7039552,40.4331399,-412324,4501017,carrefour market,1128
POINT (-3.7032135 40.4503825),Correduría de seguros Vihaso,,,,,insurance,,,,,,,,-3.7032135,40.4503825,-412242,4502937,correduría de seguros vihaso,935
POINT (-3.7072912 40.4250546),Afiloteca,kitchen,,,,,,Calle de San Bernardo,52,28015,,,,-3.7072912,40.4250546,-412696,4500117,afiloteca,1332
POINT (-3.7140353 40.4278376),,tobacco,,,,,,,,,,,,-3.7140353,40.4278376,-413446,4500427,,1070
POINT (-3.7141023 40.4273163),Halcón Viajes,travel_agency,,,,,,,,,Halcón Viajes,,,-3.7141023,40.4273163,-413454,4500369,halcón viajes,1070
POINT (-3.7138516 40.4276604),Hamburguesa Nostra,,restaurant,,,,,Calle de la Princesa,26,,,,,-3.7138516,40.4276604,-413426,4500407,hamburguesa nostra,1070
POINT (-3.7139915 40.4270815),,deli,,,,,,,,,,,,-3.7139915,40.4270815,-413442,4500343,,1070
POINT (-3.6835752 40.4238748),Scotta1985,clothes,,,,,,Calle de Jorge Juan,31,28001,,,,-3.6835752,40.4238748,-410056,4499986,scotta1985,860
POINT (-3.6292607 40.4627425),,newsagent,,,,,,,,,,,,-3.6292607,40.4627425,-404009,4504312,,198
POINT (-3.6654876 40.4298884),Horno de Pan,bakery,,,,,,,,,,,,-3.6654876,40.4298884,-408042,4500655,horno de pan,857
POINT (-3.66497 40.4301497),BBVA,,bank,,,,,,,,BBVA,,,-3.66497,40.4301497,-407984,4500684,bbva,857
